DATASET_GRADIENT
SEPARATOR SPACE
DATASET_LABEL FRA
COLOR #008000
STRIP_WIDTH 60
MARGIN 0
BORDER_WIDTH 2
BORDER_COLOR #000000
COLOR_MIN #36BCCB
COLOR_MAX #FF6836
USE_MID_COLOR 1
COLOR_MID #ffffff
SHOW_INTERNAL 1

DATA
Methanococcus_maripaludis 1
Thermococcus_gorgonarius 2
Methanobrevibacter_smithii 3
Candidatus_Nitrosotenuis_cloacae 2
Staphylothermus_marinus 1
Haloprofundus_sp._MHR1 2
Acidianus_ambivalens 1
Halanaeroarchaeum_sulfurireducens 2
Geoglobus_acetivorans 2
Candidatus_Nitrosopumilus_sp._SW 1
Halorussus_sp._RC-68 2
Methanocaldococcus_fervens 1
Methanofollis_liminatans 2
Halobacterium_sp._DL1 2
Sulfurisphaera_ohwakuensis 1
Methanobacterium_lacus 1
Caldisphaera_lagunensis 1
Thermococcus_thioreducens 2
Pyrococcus_kukulkanii 1
Candidatus_Nitrosotalea_okcheonensis 1
Methanobrevibacter_olleyae 1
Halobiforma_lacisalsi 2
Methanothermobacter_sp._KEPCO-1 1
Methanothermus_fervidus 1
Candidatus_Korarchaeum_cryptofilum 2
Natrialba_magadii 2
Methanosphaera_sp._BMS 2
Sulfolobus_acidocaldarius 2
Candidatus_Nitrosotalea_devanaterra 1
Metallosphaera_cuprina 1
Sulfolobus_islandicus 1
Pyrodictium_delaneyi 2
Halogeometricum_borinquense 2
Halobacteriaceae_archaeon_HD8-45 2
Methanothermobacter_sp._CaT2 1
Halalkalicoccus_jeotgali 2
Halorubrum_ezzemoulense 2
Natronorubrum_bangense 2
Thermococcus_cleftensis 2
Nitrosopumilus_maritimus 1
Vulcanisaeta_distributa 2
Haloarculaceae_archaeon_HArcel1 2
Methanopyrus_sp._SNP6 2
Halorubrum_sp._PV6 2
Cuniculiplasma_divulgatum 1
Halorhabdus_sp._CBA1104 2
Methanocella_conradii 2
Salarchaeum_sp._JOR-1 2
Thermococcus_sp._5-4 2
Methanosphaera_stadtmanae 1
Methanocella_arvoryzae 2
Sulfuracidifex_tepidarius 1
Thermococcus_sp._P6 2
Sulfurisphaera_tokodaii 2
Sulfodiicoccus_acidiphilus 2
Methanococcus_aeolicus 2
Nitrososphaera_viennensis 2
Methanohalobium_evestigatum 1
Nitrosopumilus_adriaticus 1
Thermosphaera_aggregans 2
Methanococcus_vannielii 1
Halalkaliarchaeum_desulfuricum 2
Picrophilus_torridus 1
Halorubrum_lacusprofundi 2
Salinigranum_rubrum 2
Pyrococcus_horikoshii 1
Methanocaldococcus_sp._FS406-22 1
Thermococcus_barophilus 1
Thermococcus_kodakarensis 2
Halobacterium_salinarum 2
Methanosphaerula_palustris 2
Candidatus_Nitrosocosmicus_exaquare 2
Methanobacterium_paludis 1
Thermococcus_radiotolerans 1
Pyrobaculum_neutrophilum 2
Methanococcoides_methylutens 2
Methanoculleus_marisnigri 2
Ferroplasma_acidarmanus 1
Natronolimnobius_sulfurireducens 2
Salinarchaeum_sp._Harcht-Bsk1 2
Sulfolobus_sp._E11-6 1
Methanobrevibacter_millerae 1
Pyrobaculum_arsenaticum 2
Vulcanisaeta_moutnovskia 1
Thermoplasmatales_archaeon_BRNA1 2
Halobellus_limi 2
Pyrococcus_sp._NA2 1
Aciduliprofundum_boonei 1
Halorientalis_sp._IM1011 2
Methanobrevibacter_sp._YE315 1
Thermofilum_uzonense 2
