DATASET_BINARY
SEPARATOR SPACE
DATASET_LABEL marker
HEIGHT_FACTOR 2
ALIGN_TO_LABELS 0
COLOR #ff0000
FIELD_SHAPES 3
FIELD_LABELS Marker
FIELD_COLORS #C53FFF
DATA
Methanococcus_maripaludis -1
Thermococcus_gorgonarius -1
Methanobrevibacter_smithii 1
Candidatus_Nitrosotenuis_cloacae -1
Staphylothermus_marinus -1
Haloprofundus_sp._MHR1 -1
Acidianus_ambivalens -1
Halanaeroarchaeum_sulfurireducens -1
Geoglobus_acetivorans -1
Candidatus_Nitrosopumilus_sp._SW -1
Halorussus_sp._RC-68 -1
Methanocaldococcus_fervens -1
Methanofollis_liminatans -1
Halobacterium_sp._DL1 -1
Sulfurisphaera_ohwakuensis -1
Methanobacterium_lacus -1
Caldisphaera_lagunensis -1
Thermococcus_thioreducens -1
Pyrococcus_kukulkanii -1
Candidatus_Nitrosotalea_okcheonensis -1
Methanobrevibacter_olleyae -1
Halobiforma_lacisalsi -1
Methanothermobacter_sp._KEPCO-1 -1
Methanothermus_fervidus -1
Candidatus_Korarchaeum_cryptofilum -1
Natrialba_magadii -1
Methanosphaera_sp._BMS -1
Sulfolobus_acidocaldarius 1
Candidatus_Nitrosotalea_devanaterra 1
Metallosphaera_cuprina -1
Sulfolobus_islandicus -1
Pyrodictium_delaneyi -1
Halogeometricum_borinquense -1
Halobacteriaceae_archaeon_HD8-45 -1
Methanothermobacter_sp._CaT2 -1
Halalkalicoccus_jeotgali -1
Halorubrum_ezzemoulense -1
Natronorubrum_bangense -1
Thermococcus_cleftensis -1
Nitrosopumilus_maritimus -1
Vulcanisaeta_distributa -1
Haloarculaceae_archaeon_HArcel1 -1
Methanopyrus_sp._SNP6 -1
Halorubrum_sp._PV6 -1
Cuniculiplasma_divulgatum -1
Halorhabdus_sp._CBA1104 -1
Methanocella_conradii -1
Salarchaeum_sp._JOR-1 -1
Thermococcus_sp._5-4 1
Methanosphaera_stadtmanae -1
Methanocella_arvoryzae -1
Sulfuracidifex_tepidarius 1
Thermococcus_sp._P6 1
Sulfurisphaera_tokodaii 1
Sulfodiicoccus_acidiphilus -1
Methanococcus_aeolicus -1
Nitrososphaera_viennensis -1
Methanohalobium_evestigatum -1
Nitrosopumilus_adriaticus -1
Thermosphaera_aggregans 1
Methanococcus_vannielii -1
Halalkaliarchaeum_desulfuricum -1
Picrophilus_torridus 1
Halorubrum_lacusprofundi -1
Salinigranum_rubrum -1
Pyrococcus_horikoshii 1
Methanocaldococcus_sp._FS406-22 -1
Thermococcus_barophilus -1
Thermococcus_kodakarensis -1
Halobacterium_salinarum -1
Methanosphaerula_palustris -1
Candidatus_Nitrosocosmicus_exaquare -1
Methanobacterium_paludis -1
Thermococcus_radiotolerans -1
Pyrobaculum_neutrophilum 1
Methanococcoides_methylutens -1
Methanoculleus_marisnigri -1
Ferroplasma_acidarmanus -1
Natronolimnobius_sulfurireducens -1
Salinarchaeum_sp._Harcht-Bsk1 -1
Sulfolobus_sp._E11-6 -1
Methanobrevibacter_millerae -1
Pyrobaculum_arsenaticum 1
Vulcanisaeta_moutnovskia -1
Thermoplasmatales_archaeon_BRNA1 -1
Halobellus_limi -1
Pyrococcus_sp._NA2 -1
Aciduliprofundum_boonei -1
Halorientalis_sp._IM1011 -1
Methanobrevibacter_sp._YE315 -1
Thermofilum_uzonense 1
