DATASET_GRADIENT
SEPARATOR SPACE
DATASET_LABEL AUS
COLOR #008000
STRIP_WIDTH 60
MARGIN 0
BORDER_WIDTH 2
BORDER_COLOR #000000
COLOR_MIN #36BCCB
COLOR_MAX #FF6836
USE_MID_COLOR 1
COLOR_MID #ffffff
SHOW_INTERNAL 1

DATA
Bifidobacterium_adolescentis 2
Desulfovibrio_desulfuricans 2
Clostridium_cellulovorans 2
Pseudomonas_putida 2
Parabacteroides_sp._CT06 3
Roseburia_hominis 2
Enterobacter_roggenkampii 3
Alistipes_finegoldii 3
Butyrivibrio_hungatei 2
Clostridium_novyi 2
Fusobacterium_necrophorum 2
Bacteroides_coprosuis 3
Escherichia_coli 3
Streptococcus_mitis 2
Clostridium_saccharobutylicum 2
Lactobacillus_ruminis 2
Ruminococcus_sp._JE7A12 2
Butyrivibrio_fibrisolvens 1
Prevotella_intermedia 3
Prevotella_jejuni 3
Bacteroides_fragilis 3
Prevotella_fusca 3
Clostridium_saccharoperbutylacetonicum 2
Campylobacter_jejuni 2
Clostridium_bolteae 2
Herbinix_luporum 2
Atopobium_parvulum 2
Blautia_sp._N6H1-15 2
Haemophilus_parainfluenzae 3
Hungateiclostridium_clariflavum 2
Enterobacter_asburiae 2
Dialister_sp._Marseille-P5638 2
Anaerotignum_propionicum 2
Lachnospiraceae_bacterium_GAM79 2
Porphyromonas_cangingivalis 3
Odoribacter_splanchnicus 3
Gemella_morbillorum 3
Bifidobacterium_longum 2
Clostridium_botulinum 2
Lachnoclostridium_phytofermentans 2
Clostridiales_bacterium_CCNA10 2
Muribaculaceae_bacterium_DSM_108610 3
Bacteroides_thetaiotaomicron 2
Prevotella_dentalis 3
Pseudobutyrivibrio_xylanivorans 2
Clostridium_sp._SY8519 2
Muribaculum_sp._TLL-A4 3
Streptococcus_vestibularis 2
Aminipila_sp._CBA3637 2
Morganella_morganii 2
Lachnospiraceae_bacterium_Choco86 2
Klebsiella_michiganensis 2
Alistipes_megaguti 3
Intestinibaculum_porci 2
Tannerella_sp._oral_taxon_HOT-286 3
Porphyromonas_crevioricanis 3
Flavonifractor_plautii 3
Bacteroides_sp._A1C1 3
Clostridium_chauvoei 2
Lachnospiraceae_bacterium 2
Bacteroides_dorei 3
