DATASET_GRADIENT
SEPARATOR SPACE
DATASET_LABEL GER
COLOR #008000
STRIP_WIDTH 80
MARGIN 0
BORDER_WIDTH 2
BORDER_COLOR #000000
COLOR_MIN #36BCCB
COLOR_MAX #FF6836
USE_MID_COLOR 1
COLOR_MID #ffffff
SHOW_INTERNAL 1

DATA
Bifidobacterium_adolescentis 2
Desulfovibrio_desulfuricans 2
Clostridium_cellulovorans 2
Pseudomonas_putida 1
Parabacteroides_sp._CT06 2
Roseburia_hominis 1
Enterobacter_roggenkampii 2
Alistipes_finegoldii 2
Butyrivibrio_hungatei 2
Clostridium_novyi 2
Fusobacterium_necrophorum 2
Bacteroides_coprosuis 2
Escherichia_coli 2
Streptococcus_mitis 2
Clostridium_saccharobutylicum 2
Lactobacillus_ruminis 2
Ruminococcus_sp._JE7A12 2
Butyrivibrio_fibrisolvens 2
Prevotella_intermedia 2
Prevotella_jejuni 2
Bacteroides_fragilis 2
Prevotella_fusca 2
Clostridium_saccharoperbutylacetonicum 2
Campylobacter_jejuni 2
Clostridium_bolteae 2
Herbinix_luporum 2
Atopobium_parvulum 2
Blautia_sp._N6H1-15 2
Haemophilus_parainfluenzae 2
Hungateiclostridium_clariflavum 2
Enterobacter_asburiae 1
Dialister_sp._Marseille-P5638 2
Anaerotignum_propionicum 2
Lachnospiraceae_bacterium_GAM79 2
Porphyromonas_cangingivalis 2
Odoribacter_splanchnicus 2
Gemella_morbillorum 2
Bifidobacterium_longum 2
Clostridium_botulinum 2
Lachnoclostridium_phytofermentans 2
Clostridiales_bacterium_CCNA10 2
Muribaculaceae_bacterium_DSM_108610 2
Bacteroides_thetaiotaomicron 2
Prevotella_dentalis 2
Pseudobutyrivibrio_xylanivorans 1
Clostridium_sp._SY8519 2
Muribaculum_sp._TLL-A4 2
Streptococcus_vestibularis 2
Aminipila_sp._CBA3637 2
Morganella_morganii 1
Lachnospiraceae_bacterium_Choco86 2
Klebsiella_michiganensis 1
Alistipes_megaguti 2
Intestinibaculum_porci 2
Tannerella_sp._oral_taxon_HOT-286 2
Porphyromonas_crevioricanis 2
Flavonifractor_plautii 2
Bacteroides_sp._A1C1 2
Clostridium_chauvoei 2
Lachnospiraceae_bacterium 2
Bacteroides_dorei 2
Fusobacterium_pseudoperiodonticum 2
Streptococcus_pasteurianus 2
Streptococcus_sanguinis 2
Fusobacterium_mortiferum 2
Prevotella_enoeca 2
Enterococcus_faecium 2
Clostridium_pasteurianum 2
Alistipes_communis 2
Clostridium_sphenoides 2
Porphyromonas_asaccharolytica 2
Lachnoanaerobaculum_umeaense 2
Klebsiella_aerogenes 1
Xanthomonas_citri 1
Blautia_producta 2
Pseudomonas_stutzeri 1
Faecalibaculum_rodentium 1
Anaerobutyricum_hallii 2
Streptococcus_sp._A12 2
Mucinivorans_hirudinis 2
Enterobacter_cloacae 1
Bacteroides_zoogleoformans 2
Bacteroides_cellulosilyticus 2
Bacteroides_xylanisolvens 2
Collinsella_aerofaciens 2
Akkermansia_muciniphila 2
Streptococcus_oralis 2
Streptococcus_sp._FDAARGOS_192 2
Faecalibacterium_prausnitzii 1
Muribaculum_intestinale 2
Bacteroides_caccae 2
Clostridium_sp._DL-VIII 2
Bacteroides_ovatus 2
Dialister_pneumosintes 2
Bifidobacterium_angulatum 2
Prevotella_ruminicola 2
Ruthenibacterium_lactatiformans 2
Bifidobacterium_breve 2
Bifidobacterium_pseudocatenulatum 2
Clostridium_bornimense 2
Ruminococcus_albus 2
Anaerocolumna_sp._CBA3638 2
Citrobacter_braakii 1
Clostridium_butyricum 2
Clostridium_baratii 2
Anaerostipes_hadrus 1
Butyricimonas_faecalis 2
Schaalia_odontolytica 2
Alistipes_onderdonkii 2
Streptococcus_pneumoniae 2
Eubacterium_callanderi 2
Bacteroides_caecimuris 2
Porphyromonas_gingivalis 2
Clostridium_septicum 2
Buchnera_aphidicola 2
Oscillibacter_sp._PEA192 2
Lactobacillus_salivarius 2
Tannerella_forsythia 2
Bifidobacterium_gallinarum 1
Desulfovibrio_vulgaris 2
Enterococcus_avium 2
Clostridium_beijerinckii 2
Bifidobacterium_animalis 2
Eubacterium_eligens 2
Petrimonas_mucosa 2
Alloprevotella_sp._E39 2
Bacteroides_intestinalis 2
Alistipes_shahii 2
Prevotella_melaninogenica 2
Bacteroides_helcogenes 2
Desulfovibrio_fairfieldensis 2
Streptococcus_equinus 2
Cupriavidus_taiwanensis 1
Roseburia_intestinalis 1
Paraclostridium_bifermentans 2
Prevotella_sp._oral_taxon_299 2
Bacteroides_vulgatus 2
Streptococcus_anginosus 3
Prevotella_scopos 2
Streptococcus_thermophilus 2
Niastella_koreensis 2
Clostridium_sp._CT4 1
Paraprevotella_xylaniphila 2
Salmonella_enterica 1
Erysipelotrichaceae_bacterium_GAM147 2
Enterobacter_ludwigii 1
Fusobacterium_nucleatum 3
Desulfovibrio_piger 2
Lactobacillus_delbrueckii 1
Clostridium_isatidis 2
Parvimonas_micra 3
Parabacteroides_distasonis 2
Sutterella_megalosphaeroides 1
Clostridium_sp._BNL1100 2
Mogibacterium_diversum 2
Burkholderiales_bacterium_YL45 2
Barnesiella_viscericola 2
Arabia_massiliensis 1
Eubacterium_cellulosolvens 1
Streptococcus_salivarius 2
Bifidobacterium_catenulatum 2
Butyrivibrio_proteoclasticus 1
Cloacibacillus_porcorum 2
Anaerostipes_rhamnosivorans 1
Prevotella_oris 2
Bacillus_thuringiensis 2
Blautia_sp._SC05B48 1
Lachnospiraceae_bacterium_KM106-2 2
Flintibacter_sp._KGMB00164 2
Longibaculum_sp._KGMB06250 2
Brachyspira_pilosicoli 1
Fusobacterium_varium 2
Bacteroides_heparinolyticus 2
Proteiniphilum_saccharofermentans 2
Sutterella_sp._KGMB03119 1
Intestinimonas_butyriciproducens 2
Ruminococcus_bicirculans 2
Alistipes_dispar 2
Clostridium_argentinense 2
Prevotella_denticola 2
