DATASET_BINARY
SEPARATOR SPACE
DATASET_LABEL marker
HEIGHT_FACTOR 2
ALIGN_TO_LABELS 0
COLOR #ff0000
FIELD_SHAPES 3
FIELD_LABELS Marker
FIELD_COLORS #C53FFF
DATA
Bifidobacterium_adolescentis -1
Desulfovibrio_desulfuricans -1
Clostridium_cellulovorans -1
Pseudomonas_putida -1
Parabacteroides_sp._CT06 -1
Roseburia_hominis -1
Enterobacter_roggenkampii -1
Alistipes_finegoldii 1
Butyrivibrio_hungatei -1
Clostridium_novyi -1
Fusobacterium_necrophorum 1
Bacteroides_coprosuis -1
Escherichia_coli -1
Streptococcus_mitis -1
Clostridium_saccharobutylicum -1
Lactobacillus_ruminis 1
Ruminococcus_sp._JE7A12 -1
Butyrivibrio_fibrisolvens -1
Prevotella_intermedia -1
Prevotella_jejuni -1
Bacteroides_fragilis -1
Prevotella_fusca -1
Clostridium_saccharoperbutylacetonicum -1
Campylobacter_jejuni -1
Clostridium_bolteae -1
Herbinix_luporum -1
Atopobium_parvulum -1
Blautia_sp._N6H1-15 -1
Haemophilus_parainfluenzae -1
Hungateiclostridium_clariflavum -1
Enterobacter_asburiae -1
Dialister_sp._Marseille-P5638 -1
Anaerotignum_propionicum -1
Lachnospiraceae_bacterium_GAM79 -1
Porphyromonas_cangingivalis -1
Odoribacter_splanchnicus 1
Gemella_morbillorum 1
Bifidobacterium_longum -1
Clostridium_botulinum -1
Lachnoclostridium_phytofermentans -1
Clostridiales_bacterium_CCNA10 1
Muribaculaceae_bacterium_DSM_108610 -1
Bacteroides_thetaiotaomicron -1
Prevotella_dentalis -1
Pseudobutyrivibrio_xylanivorans 1
Clostridium_sp._SY8519 -1
Muribaculum_sp._TLL-A4 -1
Streptococcus_vestibularis -1
Aminipila_sp._CBA3637 -1
Morganella_morganii -1
Lachnospiraceae_bacterium_Choco86 -1
Klebsiella_michiganensis -1
Alistipes_megaguti -1
Intestinibaculum_porci -1
Tannerella_sp._oral_taxon_HOT-286 -1
Porphyromonas_crevioricanis -1
Flavonifractor_plautii 1
Bacteroides_sp._A1C1 -1
Clostridium_chauvoei -1
Lachnospiraceae_bacterium -1
Bacteroides_dorei -1
Fusobacterium_pseudoperiodonticum -1
Streptococcus_pasteurianus -1
Streptococcus_sanguinis -1
Fusobacterium_mortiferum -1
Prevotella_enoeca -1
Enterococcus_faecium -1
Clostridium_pasteurianum -1
Alistipes_communis -1
Clostridium_sphenoides -1
Porphyromonas_asaccharolytica 1
Lachnoanaerobaculum_umeaense -1
Klebsiella_aerogenes -1
Xanthomonas_citri -1
Blautia_producta -1
Pseudomonas_stutzeri -1
Faecalibaculum_rodentium -1
Anaerobutyricum_hallii -1
Streptococcus_sp._A12 -1
Mucinivorans_hirudinis -1
Enterobacter_cloacae -1
Bacteroides_zoogleoformans -1
Bacteroides_cellulosilyticus 1
Bacteroides_xylanisolvens -1
Collinsella_aerofaciens -1
Akkermansia_muciniphila -1
Streptococcus_oralis 1
Streptococcus_sp._FDAARGOS_192 -1
Faecalibacterium_prausnitzii 1
Muribaculum_intestinale -1
Bacteroides_caccae 1
Clostridium_sp._DL-VIII -1
Bacteroides_ovatus -1
Dialister_pneumosintes 1
Bifidobacterium_angulatum -1
Prevotella_ruminicola -1
Ruthenibacterium_lactatiformans 1
Bifidobacterium_breve -1
Bifidobacterium_pseudocatenulatum 1
Clostridium_bornimense -1
Ruminococcus_albus -1
Anaerocolumna_sp._CBA3638 -1
Citrobacter_braakii -1
Clostridium_butyricum -1
Clostridium_baratii -1
Anaerostipes_hadrus -1
Butyricimonas_faecalis 1
Schaalia_odontolytica -1
Alistipes_onderdonkii -1
Streptococcus_pneumoniae -1
Eubacterium_callanderi -1
Bacteroides_caecimuris -1
Porphyromonas_gingivalis -1
Clostridium_septicum -1
Buchnera_aphidicola -1
Oscillibacter_sp._PEA192 -1
Lactobacillus_salivarius -1
Tannerella_forsythia -1
Bifidobacterium_gallinarum -1
Desulfovibrio_vulgaris -1
Enterococcus_avium -1
Clostridium_beijerinckii -1
Bifidobacterium_animalis -1
Eubacterium_eligens -1
Petrimonas_mucosa -1
Alloprevotella_sp._E39 -1
Bacteroides_intestinalis -1
Alistipes_shahii -1
Prevotella_melaninogenica -1
Bacteroides_helcogenes -1
Desulfovibrio_fairfieldensis -1
Streptococcus_equinus -1
Cupriavidus_taiwanensis -1
Roseburia_intestinalis 1
Paraclostridium_bifermentans -1
Prevotella_sp._oral_taxon_299 -1
Bacteroides_vulgatus -1
Streptococcus_anginosus 1
Prevotella_scopos 1
Streptococcus_thermophilus 1
Niastella_koreensis -1
Clostridium_sp._CT4 -1
Paraprevotella_xylaniphila -1
Salmonella_enterica -1
Erysipelotrichaceae_bacterium_GAM147 -1
Enterobacter_ludwigii -1
Fusobacterium_nucleatum 1
Desulfovibrio_piger -1
Lactobacillus_delbrueckii -1
Clostridium_isatidis -1
Parvimonas_micra 1
Parabacteroides_distasonis -1
Sutterella_megalosphaeroides -1
Clostridium_sp._BNL1100 -1
Mogibacterium_diversum 1
Burkholderiales_bacterium_YL45 -1
Barnesiella_viscericola -1
Arabia_massiliensis -1
Eubacterium_cellulosolvens -1
Streptococcus_salivarius -1
Bifidobacterium_catenulatum -1
Butyrivibrio_proteoclasticus -1
Cloacibacillus_porcorum -1
Anaerostipes_rhamnosivorans -1
Prevotella_oris -1
Bacillus_thuringiensis -1
Blautia_sp._SC05B48 -1
Lachnospiraceae_bacterium_KM106-2 1
Flintibacter_sp._KGMB00164 -1
Longibaculum_sp._KGMB06250 -1
Brachyspira_pilosicoli -1
Fusobacterium_varium -1
Bacteroides_heparinolyticus -1
Proteiniphilum_saccharofermentans -1
Sutterella_sp._KGMB03119 -1
Intestinimonas_butyriciproducens -1
Ruminococcus_bicirculans 1
Alistipes_dispar -1
Clostridium_argentinense -1
Prevotella_denticola -1
