DATASET_GRADIENT
SEPARATOR SPACE
DATASET_LABEL GER
COLOR #008000
STRIP_WIDTH 60
MARGIN 0
BORDER_WIDTH 2
BORDER_COLOR #000000
COLOR_MIN #36BCCB
COLOR_MAX #FF6836
USE_MID_COLOR 1
COLOR_MID #ffffff
SHOW_INTERNAL 1

DATA
Lachancea_dasiensis 3
Aspergillus_nomiae 2
Paracoccidioides_brasiliensis 2
Penicillium_camemberti 3
Malassezia_vespertilionis 2
Enterocytozoon_bieneusi 2
Pyrrhoderma_noxium 3
Tremella_mesenterica 2
Microbotryum_intermedium 2
Penicillium_solitum 2
Pseudogymnoascus_sp._VKM_F-4517_FW-2822 2
Pseudogymnoascus_sp._VKM_F-4520_FW-2644 3
Suillus_luteus 2
Rhizopus_delemar 2
Hanseniaspora_uvarum 2
Rhynchosporium_secalis 2
Coniophora_puteana 2
Lipomyces_starkeyi 2
Fusarium_proliferatum 2
Sistotremastrum_suecicum 2
Neocallimastix_californiae 2
Ascosphaera_apis 2
Wickerhamomyces_anomalus 2
Schizosaccharomyces_octosporus 2
Cryptococcus_gattii_VGII 2
Aspergillus_aculeatinus 2
Aspergillus_clavatus 3
Piromyces_sp._E2 2
Brettanomyces_bruxellensis 2
Aspergillus_niger 1
Candida_auris 1
Wallemia_ichthyophaga 2
Sporisorium_reilianum 1
Hesseltinella_vesiculosa 2
Cercospora_zeina 2
Kuraishia_capsulata 2
Hepatospora_eriocheir 2
Grosmannia_clavigera 2
Colletotrichum_orbiculare 2
Rhizophagus_irregularis 3
Enterospora_canceri 2
Schizophyllum_commune 2
Gelatoporia_subvermispora 1
Armillaria_solidipes 3
Anaeromyces_robustus 2
Saccharomyces_arboricola 2
Sclerotinia_borealis 3
Cryptococcus_depauperatus 2
Colletotrichum_gloeosporioides 2
Ceratocystis_platani 1
Kwoniella_mangrovensis 2
Exophiala_xenobiotica 2
Trichophyton_violaceum 2
Neofusicoccum_parvum 1
Tuber_melanosporum 2
Peniophora_sp._CONT 1
Coniosporium_apollinis 1
Jaminaea_rosea 2
Pseudocercospora_musae 2
Tilletia_walkeri 2
Leucoagaricus_sp._SymC.cos 2
Edhazardia_aedis 2
Emmonsia_sp._CAC-2015a 2
Ophiocordyceps_camponoti-rufipedis 1
Paracoccidioides_lutzii 3
Aspergillus_ochraceoroseus 3
Trichoderma_harzianum 2
Puccinia_coronata 2
Cyberlindnera_fabianii 2
Capronia_epimyces 2
Macrophomina_phaseolina 1
Sporisorium_graminicola 2
Batrachochytrium_salamandrivorans 2
Penicillium_steckii 2
Pseudogymnoascus_sp._VKM_F-3557 2
Zymoseptoria_brevis 2
Tetrapisispora_phaffii 2
Fusarium_fujikuroi 2
Marssonina_brunnea 3
Kwoniella_heveanensis 2
Vanderwaltozyma_polyspora 3
Kwoniella_dejecticola 2
Purpureocillium_lilacinum 1
Clohesyomyces_aquaticus 2
Aspergillus_rambellii 3
Bipolaris_oryzae 2
Rhizopus_microsporus 2
Enterocytozoon_hepatopenaei 2
Aspergillus_fumigatus 1
Dacryopinax_primogenitus 1
Pneumocystis_carinii 2
Wallemia_mellicola 2
Elsinoe_australis 1
Pseudoloma_neurophilia 2
Hortaea_werneckii 2
Pichia_membranifaciens 3
Aspergillus_ruber 2
Penicillium_digitatum 1
Coccidioides_immitis 2
Exserohilum_turcicum 2
Komagataella_pastoris 2
Colletotrichum_higginsianum 1
Saccharomyces_paradoxus 2
Nadsonia_fulvescens 3
Dothistroma_septosporum 2
Paxillus_involutus 2
Cyberlindnera_jadinii 2
Aspergillus_eucalypticola 3
Pachysolen_tannophilus 2
Serpula_lacrymans 2
Chaetomium_thermophilum 1
Blastomyces_dermatitidis 3
Agaricus_bisporus 3
Cercospora_berteroae 2
Metarhizium_rileyi 2
Tuber_borchii 3
Aspergillus_bombycis 2
Aspergillus_arachidicola 2
Trichoderma_atroviride 2
Ascochyta_rabiei 1
Puccinia_sorghi 3
Paramicrosporidium_saccamoebae 2
Saccharomyces_cerevisiae 2
Aspergillus_brunneoviolaceus 2
Sugiyamaella_lignohabitans 2
Candida_duobushaemulonis 2
Metarhizium_guizhouense 2
Candida_pseudohaemulonis 2
Puccinia_graminis 3
Wickerhamomyces_ciferrii 2
Pseudogymnoascus_sp._24MN13 2
Lachancea_thermotolerans 1
Diplodia_corticola 1
Neurospora_crassa 2
Ceraceosorus_guamensis 1
Ophiostoma_piceae 2
Nosema_bombycis 3
Ganoderma_sinense 1
Moniliophthora_perniciosa 2
Malassezia_pachydermatis 2
Fusarium_venenatum 2
Absidia_glauca 3
Hypsizygus_marmoreus 2
Nosema_apis 2
Fonsecaea_nubica 3
Rutstroemia_sp._NJR-2017a_BBW 3
Trichophyton_verrucosum 2
Fonsecaea_multimorphosa 2
Ascoidea_rubescens 3
Aspergillus_sclerotioniger 3
Verruconis_gallopava 1
Penicillium_nordicum 2
Sistotremastrum_niveocremeum 2
Daldinia_sp._EC12 2
Sclerotinia_sclerotiorum 2
Pseudogymnoascus_sp._VKM_F-4513_FW-928 1
Trichoderma_virens 2
Mucor_ambiguus 2
Tuber_magnatum 2
Rozella_allomycis 2
Phlebiopsis_gigantea 2
Babjeviella_inositovora 2
Choanephora_cucurbitarum 2
Cordyceps_militaris 1
Ogataea_parapolymorpha 2
Fusarium_graminearum 2
Amanita_muscaria 2
Candida_orthopsilosis 3
Candida_parapsilosis 2
Penicillium_subrubescens 3
Tilletia_caries 2
Rhizophagus_clarus 2
Trametes_cinnabarina 2
Batrachochytrium_dendrobatidis 2
Verticillium_dahliae 2
Blumeria_graminis 3
Blastomyces_silverae 2
Lachancea_mirantina 2
Penicillium_vulpinum 3
Komagataella_phaffii 2
Neolentinus_lepideus 1
Pyricularia_oryzae 1
Fibroporia_radiculosa 1
Hyphopichia_burtonii 2
Debaryomyces_fabryi 2
Sphaerulina_musiva 3
Talaromyces_islandicus 1
Cladophialophora_immunda 2
Exidia_glandulosa 2
Mucor_lusitanicus 2
Rachicladosporium_antarcticum 2
Blastomyces_parvus 2
Suhomyces_tanzawaensis 2
Amanita_thiersii 2
Nannizzia_gypsea 2
Jaapia_argillacea 2
Pseudogymnoascus_sp._03VT05 2
Candida_maltosa 2
Conidiobolus_coronatus 2
Fusarium_oxysporum 2
Scleroderma_citrinum 2
Tetrapisispora_blattae 2
Aspergillus_violaceofuscus 2
Exophiala_sideris 2
Penicillium_brasilianum 1
Parastagonospora_nodorum 3
Sphaerobolus_stellatus 2
Mucor_circinelloides 3
Trichophyton_mentagrophytes 2
Candida_arabinofermentans 2
Pseudocercospora_eumusae 3
Elaphomyces_granulatus 3
Fonsecaea_erecta 3
Erysiphe_pulchra 2
Candida_glabrata 2
Candida_dubliniensis 3
Cryptococcus_wingfieldii 3
Sporothrix_insectorum 2
Pseudogymnoascus_sp._VKM_F-4518_FW-2643 3
Exophiala_oligosperma 2
Rutstroemia_sp._NJR-2017a_BVV2 3
Penicillium_antarcticum 2
Aspergillus_fischeri 1
Fomitopsis_pinicola 2
Pyrenophora_teres 2
Naumovozyma_dairenensis 2
Malassezia_globosa 3
Endocarpon_pusillum 2
Lentinula_edodes 3
Anncaliia_algerae 2
Botrytis_cinerea 3
