DATASET_BINARY
SEPARATOR SPACE
DATASET_LABEL marker
HEIGHT_FACTOR 2
ALIGN_TO_LABELS 0
COLOR #ff0000
FIELD_SHAPES 3
FIELD_LABELS Marker
FIELD_COLORS #C53FFF
DATA
Lachancea_dasiensis 1
Aspergillus_nomiae 1
Paracoccidioides_brasiliensis -1
Penicillium_camemberti -1
Malassezia_vespertilionis 1
Enterocytozoon_bieneusi -1
Pyrrhoderma_noxium -1
Tremella_mesenterica -1
Microbotryum_intermedium -1
Penicillium_solitum -1
Pseudogymnoascus_sp._VKM_F-4517_FW-2822 -1
Pseudogymnoascus_sp._VKM_F-4520_FW-2644 -1
Suillus_luteus -1
Rhizopus_delemar -1
Hanseniaspora_uvarum -1
Rhynchosporium_secalis -1
Coniophora_puteana -1
Lipomyces_starkeyi 1
Fusarium_proliferatum -1
Sistotremastrum_suecicum 1
Neocallimastix_californiae -1
Ascosphaera_apis -1
Wickerhamomyces_anomalus -1
Schizosaccharomyces_octosporus -1
Cryptococcus_gattii_VGII -1
Aspergillus_aculeatinus -1
Aspergillus_clavatus -1
Piromyces_sp._E2 -1
Brettanomyces_bruxellensis -1
Aspergillus_niger 1
Candida_auris -1
Wallemia_ichthyophaga -1
Sporisorium_reilianum -1
Hesseltinella_vesiculosa -1
Cercospora_zeina -1
Kuraishia_capsulata -1
Hepatospora_eriocheir -1
Grosmannia_clavigera -1
Colletotrichum_orbiculare -1
Rhizophagus_irregularis 1
Enterospora_canceri -1
Schizophyllum_commune -1
Gelatoporia_subvermispora -1
Armillaria_solidipes -1
Anaeromyces_robustus -1
Saccharomyces_arboricola -1
Sclerotinia_borealis -1
Cryptococcus_depauperatus -1
Colletotrichum_gloeosporioides -1
Ceratocystis_platani -1
Kwoniella_mangrovensis -1
Exophiala_xenobiotica -1
Trichophyton_violaceum -1
Neofusicoccum_parvum -1
Tuber_melanosporum -1
Peniophora_sp._CONT -1
Coniosporium_apollinis -1
Jaminaea_rosea -1
Pseudocercospora_musae -1
Tilletia_walkeri -1
Leucoagaricus_sp._SymC.cos -1
Edhazardia_aedis -1
Emmonsia_sp._CAC-2015a -1
Ophiocordyceps_camponoti-rufipedis -1
Paracoccidioides_lutzii -1
Aspergillus_ochraceoroseus 1
Trichoderma_harzianum -1
Puccinia_coronata -1
Cyberlindnera_fabianii -1
Capronia_epimyces -1
Macrophomina_phaseolina -1
Sporisorium_graminicola -1
Batrachochytrium_salamandrivorans -1
Penicillium_steckii -1
Pseudogymnoascus_sp._VKM_F-3557 -1
Zymoseptoria_brevis -1
Tetrapisispora_phaffii -1
Fusarium_fujikuroi -1
Marssonina_brunnea -1
Kwoniella_heveanensis -1
Vanderwaltozyma_polyspora -1
Kwoniella_dejecticola -1
Purpureocillium_lilacinum -1
Clohesyomyces_aquaticus -1
Aspergillus_rambellii 1
Bipolaris_oryzae -1
Rhizopus_microsporus 1
Enterocytozoon_hepatopenaei -1
Aspergillus_fumigatus -1
Dacryopinax_primogenitus -1
Pneumocystis_carinii -1
Wallemia_mellicola -1
Elsinoe_australis -1
Pseudoloma_neurophilia -1
Hortaea_werneckii -1
Pichia_membranifaciens -1
Aspergillus_ruber -1
Penicillium_digitatum -1
Coccidioides_immitis -1
Exserohilum_turcicum -1
Komagataella_pastoris -1
Colletotrichum_higginsianum -1
Saccharomyces_paradoxus -1
Nadsonia_fulvescens 1
Dothistroma_septosporum -1
Paxillus_involutus -1
Cyberlindnera_jadinii -1
Aspergillus_eucalypticola -1
Pachysolen_tannophilus -1
Serpula_lacrymans -1
Chaetomium_thermophilum -1
Blastomyces_dermatitidis -1
Agaricus_bisporus -1
Cercospora_berteroae -1
Metarhizium_rileyi -1
Tuber_borchii -1
Aspergillus_bombycis -1
Aspergillus_arachidicola -1
Trichoderma_atroviride -1
Ascochyta_rabiei -1
Puccinia_sorghi -1
Paramicrosporidium_saccamoebae -1
Saccharomyces_cerevisiae 1
Aspergillus_brunneoviolaceus -1
Sugiyamaella_lignohabitans -1
Candida_duobushaemulonis -1
Metarhizium_guizhouense -1
Candida_pseudohaemulonis -1
Puccinia_graminis -1
Wickerhamomyces_ciferrii -1
Pseudogymnoascus_sp._24MN13 -1
Lachancea_thermotolerans -1
Diplodia_corticola -1
Neurospora_crassa -1
Ceraceosorus_guamensis -1
Ophiostoma_piceae -1
Nosema_bombycis 1
Ganoderma_sinense -1
Moniliophthora_perniciosa -1
Malassezia_pachydermatis -1
Fusarium_venenatum -1
Absidia_glauca 1
Hypsizygus_marmoreus 1
Nosema_apis -1
Fonsecaea_nubica -1
Rutstroemia_sp._NJR-2017a_BBW -1
Trichophyton_verrucosum -1
Fonsecaea_multimorphosa -1
Ascoidea_rubescens -1
Aspergillus_sclerotioniger -1
Verruconis_gallopava -1
Penicillium_nordicum -1
Sistotremastrum_niveocremeum -1
Daldinia_sp._EC12 -1
Sclerotinia_sclerotiorum 1
Pseudogymnoascus_sp._VKM_F-4513_FW-928 -1
Trichoderma_virens -1
Mucor_ambiguus 1
Tuber_magnatum -1
Rozella_allomycis -1
Phlebiopsis_gigantea -1
Babjeviella_inositovora -1
Choanephora_cucurbitarum -1
Cordyceps_militaris -1
Ogataea_parapolymorpha -1
Fusarium_graminearum -1
Amanita_muscaria -1
Candida_orthopsilosis -1
Candida_parapsilosis -1
Penicillium_subrubescens -1
Tilletia_caries 1
Rhizophagus_clarus -1
Trametes_cinnabarina -1
Batrachochytrium_dendrobatidis -1
Verticillium_dahliae -1
Blumeria_graminis -1
Blastomyces_silverae -1
Lachancea_mirantina -1
Penicillium_vulpinum -1
Komagataella_phaffii -1
Neolentinus_lepideus -1
Pyricularia_oryzae -1
Fibroporia_radiculosa -1
Hyphopichia_burtonii -1
Debaryomyces_fabryi -1
Sphaerulina_musiva -1
Talaromyces_islandicus 1
Cladophialophora_immunda -1
Exidia_glandulosa -1
Mucor_lusitanicus -1
Rachicladosporium_antarcticum -1
Blastomyces_parvus 1
Suhomyces_tanzawaensis -1
Amanita_thiersii -1
Nannizzia_gypsea -1
Jaapia_argillacea -1
Pseudogymnoascus_sp._03VT05 -1
Candida_maltosa -1
Conidiobolus_coronatus -1
Fusarium_oxysporum -1
Scleroderma_citrinum -1
Tetrapisispora_blattae -1
Aspergillus_violaceofuscus 1
Exophiala_sideris -1
Penicillium_brasilianum 1
Parastagonospora_nodorum -1
Sphaerobolus_stellatus -1
Mucor_circinelloides -1
Trichophyton_mentagrophytes 1
Candida_arabinofermentans -1
Pseudocercospora_eumusae -1
Elaphomyces_granulatus -1
Fonsecaea_erecta -1
Erysiphe_pulchra 1
Candida_glabrata -1
Candida_dubliniensis -1
Cryptococcus_wingfieldii -1
Sporothrix_insectorum -1
Pseudogymnoascus_sp._VKM_F-4518_FW-2643 -1
Exophiala_oligosperma -1
Rutstroemia_sp._NJR-2017a_BVV2 -1
Penicillium_antarcticum -1
Aspergillus_fischeri -1
Fomitopsis_pinicola -1
Pyrenophora_teres -1
Naumovozyma_dairenensis -1
Malassezia_globosa -1
Endocarpon_pusillum -1
Lentinula_edodes -1
Anncaliia_algerae -1
Botrytis_cinerea -1
