,AUS_CRC,AUS_CTR,CHI_CRC,CHI_CTR,FRA_CRC,FRA_CTR,GER_CRC,GER_CTR,JAP_CRC,JAP_CTR
Actinobacteria,11.02718348,17.66964121,6.472631435,4.706277502,4.026577645,7.263372743,5.201120492,6.533175556,4.204879688,4.65118185
Bacteroidetes,24.45482136,11.00871888,42.4020567,39.67393325,45.55945276,35.9247547,44.47960087,36.20334657,54.75908302,52.80981038
Cyanobacteria,0.182548633,0.160857006,0.117278329,0.122687097,0.140583295,0.165153728,0.147030918,0.170699951,0.152776101,0.149347757
Firmicutes,46.62306361,61.16742113,36.63883235,42.35577367,38.57395584,49.54912884,41.7419914,48.58509464,30.82547481,33.33652014
Fusobacteria,0.22599408,0.132362102,0.572976448,0.395472694,0.952860489,0.162555566,0.225301286,0.127795063,0.952811428,0.848448462
Planctomycetes,0.1123445,0.109817366,0.077051674,0.072867468,0.096909674,0.081867846,0.132027188,0.152824309,0.098276204,0.097323853
Proteobacteria,13.37856407,7.216305821,9.790461217,11.67816357,7.670642043,5.23593532,5.022160713,6.794439009,8.022310789,7.251084877
Spirochaetes,0.127599935,0.126547356,0.079635982,0.085754426,0.106943637,0.122804483,0.102402064,0.113747886,0.185885467,0.15380949
Tenericutes,0.164865988,0.133640369,0.092581322,0.112847692,0.107233304,0.165112844,0.088771636,0.104678725,0.068968566,0.064004149
Verrucomicrobia,3.383258978,1.974168331,3.463369039,0.52392523,2.19340928,1.004019029,2.446868434,0.790794185,0.479177811,0.393256081
ZOther,0.31975537,0.300520425,0.293125508,0.272297398,0.571432033,0.325294907,0.412725005,0.423404106,0.250356115,0.245212959
