"","AUS_CRC","AUS_CTR","CHI_CRC","CHI_CTR","FRA_CRC","FRA_CTR","GER_CRC","GER_CTR","JAP_CRC","JAP_CTR"
"Baculoviridae",2.50420294130435,2.97740928888889,2.04232716891892,2.12896788148148,2.64134352830189,2.60831097377049,2.86083510666667,2.76420948615385,2.5363365875969,2.68195892270916
"Mimiviridae",1.53581225434783,1.74355633492063,1.08593738648649,1.1872379962963,1.60112163207547,1.74976838032787,1.581550435,1.52423912923077,1.64194655775194,1.62027144661355
"Phycodnaviridae",1.88472136304348,2.11344736031746,1.88126393378378,1.61616474074074,1.88907819811321,2.07378520327869,2.49862575,2.26263934615385,2.09764376124031,2.21436118804781
"Poxviridae",2.00153190869565,2.39479424126984,3.0573600027027,1.63791462407407,3.4825118,1.83551423934426,1.81384726,1.64048047076923,1.49757755581395,1.55725592231076
"Autographiviridae",1.74119373695652,2.04594121269841,3.00432534864865,2.44795212222222,1.73967223962264,1.75380752295082,2.17821153833333,2.13429200769231,2.58610370542636,2.88577232868526
"Herelleviridae",4.29856697608696,6.14787632380952,3.32797841486487,3.6115293962963,4.0803278509434,4.57800785409836,4.40591693,4.33448729692308,3.69271105,3.69129505338645
"Myoviridae",27.0890634065217,27.3226916190476,23.7888252554054,22.768298137037,24.2778644603774,24.8449538688525,26.805123565,25.9702302584615,28.1548801139535,28.5095332585657
"Podoviridae",21.3393303847826,12.9567876761905,27.3084584027027,30.201246662963,20.2193256113208,17.4896878147541,19.3412462366667,21.2104058107692,19.8850149825581,17.751285574502
"Siphoviridae",22.1076435391304,23.5058965698413,17.8286064945946,19.9389445203704,23.6420991622642,25.7842215918033,20.2111875233333,20.2847123661538,19.8566811069767,20.1000655398406
"Herpesviridae",2.54747050434783,3.14331601428571,2.3139201,2.51413065,2.54159356792453,3.09407828852459,2.91660951666667,3.07114102461538,3.30789290193798,3.53359956573705
"Others",12.9504629847826,15.6482833587302,14.3609974918919,11.9476132685185,13.8850619490566,14.1878642622951,15.3868461383333,14.8031628030769,14.7432116767442,15.4546011996016
