"","row","column","cor","p","fdr"
"1","Bifidobacterium adolescentis","Bifidobacterium angulatum",0.657170167531,0,0
"2","Bifidobacterium adolescentis","Bifidobacterium breve",0.4190421475,0.005,0.0261650706794346
"3","Bifidobacterium angulatum","Bifidobacterium breve",0.460678697489,0.001,0.00715907673112913
"4","Bifidobacterium adolescentis","Bifidobacterium catenulatum",0.708799861094,0,0
"5","Bifidobacterium angulatum","Bifidobacterium catenulatum",0.741132561232,0,0
"6","Bifidobacterium breve","Bifidobacterium catenulatum",0.452030929168,0.002,0.0127157894736842
"7","Bifidobacterium adolescentis","Bifidobacterium longum",0.472674133244,0,0
"8","Bifidobacterium angulatum","Bifidobacterium longum",0.486035911257,0,0
"9","Bifidobacterium breve","Bifidobacterium longum",0.656917346481,0,0
"10","Bifidobacterium catenulatum","Bifidobacterium longum",0.442707252293,0.001,0.00715907673112913
"11","Bifidobacterium adolescentis","Bifidobacterium pseudocatenulatum",0.483361134362,0,0
"12","Bifidobacterium angulatum","Bifidobacterium pseudocatenulatum",0.399377635169,0.006,0.0299634464751958
"13","Bifidobacterium breve","Bifidobacterium pseudocatenulatum",0.456354328923,0,0
"14","Bifidobacterium catenulatum","Bifidobacterium pseudocatenulatum",0.67876945251,0,0
"15","Bifidobacterium longum","Bifidobacterium pseudocatenulatum",0.363442538487,0.01,0.0437014470677837
"16","Bifidobacterium adolescentis","Atopobium parvulum",0.163354311809,0.279,0.467689745836985
"17","Bifidobacterium angulatum","Atopobium parvulum",0.193306297001,0.208,0.385560975609756
"18","Bifidobacterium breve","Atopobium parvulum",0.196224950411,0.189,0.360952571143285
"19","Bifidobacterium catenulatum","Atopobium parvulum",0.145389023939,0.303,0.493714042311515
"20","Bifidobacterium longum","Atopobium parvulum",0.170411793606,0.26,0.447273272372958
"21","Bifidobacterium pseudocatenulatum","Atopobium parvulum",0.103357606467,0.494,0.673775136676967
"22","Bifidobacterium adolescentis","Bacteroides caccae",-0.146771620151,0.341,0.534314036045877
"23","Bifidobacterium angulatum","Bacteroides caccae",-0.323420633678,0.036,0.113002188183807
