"","row","column","cor","p","fdr"
"1","Bifidobacterium adolescentis","Bifidobacterium angulatum",0.805607958845,0,0
"2","Bifidobacterium adolescentis","Bifidobacterium breve",0.109974523187,0.414,0.551615464994775
"3","Bifidobacterium angulatum","Bifidobacterium breve",0.22930326897,0.079,0.159248902160548
"4","Bifidobacterium adolescentis","Bifidobacterium catenulatum",0.588028233125,0,0
"5","Bifidobacterium angulatum","Bifidobacterium catenulatum",0.72957930009,0,0
"6","Bifidobacterium breve","Bifidobacterium catenulatum",0.327969628372,0.007,0.0226670428893905
"7","Bifidobacterium adolescentis","Bifidobacterium longum",0.503362510175,0,0
"8","Bifidobacterium angulatum","Bifidobacterium longum",0.562490427981,0,0
"9","Bifidobacterium breve","Bifidobacterium longum",0.462692258109,0,0
"10","Bifidobacterium catenulatum","Bifidobacterium longum",0.426763718334,0,0
"11","Bifidobacterium adolescentis","Bifidobacterium pseudocatenulatum",0.439378211046,0,0
"12","Bifidobacterium angulatum","Bifidobacterium pseudocatenulatum",0.615141309906,0,0
"13","Bifidobacterium breve","Bifidobacterium pseudocatenulatum",0.216623519419,0.1,0.191075591075591
"14","Bifidobacterium catenulatum","Bifidobacterium pseudocatenulatum",0.831295786069,0,0
"15","Bifidobacterium longum","Bifidobacterium pseudocatenulatum",0.293024456933,0.02,0.0532776230269266
"16","Bifidobacterium adolescentis","Atopobium parvulum",0.158250107155,0.215,0.341547619047619
"17","Bifidobacterium angulatum","Atopobium parvulum",0.214095058705,0.098,0.188351699882767
"18","Bifidobacterium breve","Atopobium parvulum",0.330776679553,0.01,0.0303196829590489
"19","Bifidobacterium catenulatum","Atopobium parvulum",0.167971503746,0.182,0.302349739432542
"20","Bifidobacterium longum","Atopobium parvulum",0.0832209029853,0.483,0.617938461538462
"21","Bifidobacterium pseudocatenulatum","Atopobium parvulum",0.0178952034492,0.884,0.925450100346652
"22","Bifidobacterium adolescentis","Bacteroides caccae",0.001730147575,0.984,0.98934501489399
"23","Bifidobacterium angulatum","Bacteroides caccae",-0.114849493033,0.348,0.485608949416342
"24","Bifidobacterium breve","Bacteroides caccae",-0.353202648039,0.007,0.0226670428893905
"25","Bifidobacterium catenulatum","Bacteroides caccae",-0.117179779921,0.363,0.501177574590953
"26","Bifidobacterium longum","Bacteroides caccae",-0.13144876591,0.28,0.415420814479638
"27","Bifidobacterium pseudocatenulatum","Bacteroides caccae",-0.177703316564,0.168,0.285160183404822
"28","Atopobium parvulum","Bacteroides caccae",-0.41253230933,0.002,0.00799721254355401
"29","Bifidobacterium adolescentis","Bacteroides cellulosilyticus",-0.130946684636,0.294,0.42980178343949
"30","Bifidobacterium angulatum","Bacteroides cellulosilyticus",-0.24841962948,0.041,0.0954199959440276
"31","Bifidobacterium breve","Bacteroides cellulosilyticus",-0.404651195168,0.002,0.00799721254355401
"32","Bifidobacterium catenulatum","Bacteroides cellulosilyticus",-0.323920650689,0.004,0.0143226209048362
"33","Bifidobacterium longum","Bacteroides cellulosilyticus",-0.309601410619,0.008,0.0252289090409453
"34","Bifidobacterium pseudocatenulatum","Bacteroides cellulosilyticus",-0.298804883515,0.017,0.0466950694112015
"35","Atopobium parvulum","Bacteroides cellulosilyticus",-0.33047879119,0.007,0.0226670428893905
"36","Bacteroides caccae","Bacteroides cellulosilyticus",0.53300264689,0,0
"37","Bifidobacterium adolescentis","Bacteroides fragilis",-0.241731474224,0.04,0.0935289323553382
"38","Bifidobacterium angulatum","Bacteroides fragilis",-0.323480186716,0.011,0.032848295602394
"39","Bifidobacterium breve","Bacteroides fragilis",-0.322481273555,0.01,0.0303196829590489
"40","Bifidobacterium catenulatum","Bacteroides fragilis",-0.392374306638,0.001,0.0044155444401693
"41","Bifidobacterium longum","Bacteroides fragilis",-0.157791382894,0.2,0.324455753463387
"42","Bifidobacterium pseudocatenulatum","Bacteroides fragilis",-0.362156649644,0.008,0.0252289090409453
"43","Atopobium parvulum","Bacteroides fragilis",-0.354504327084,0.003,0.0113101182654402
"44","Bacteroides caccae","Bacteroides fragilis",0.533572640411,0,0
"45","Bacteroides cellulosilyticus","Bacteroides fragilis",0.630190673342,0,0
"46","Bifidobacterium adolescentis","Bacteroides thetaiotaomicron",-0.217992067378,0.082,0.163828690807799
"47","Bifidobacterium angulatum","Bacteroides thetaiotaomicron",-0.28488624806,0.03,0.0742622950819672
"48","Bifidobacterium breve","Bacteroides thetaiotaomicron",-0.262247677021,0.034,0.0819197984463573
"49","Bifidobacterium catenulatum","Bacteroides thetaiotaomicron",-0.317461426529,0.009,0.0278318512530315
"50","Bifidobacterium longum","Bacteroides thetaiotaomicron",-0.148079296687,0.24,0.369895245769541
"51","Bifidobacterium pseudocatenulatum","Bacteroides thetaiotaomicron",-0.33715312472,0.004,0.0143226209048362
"52","Atopobium parvulum","Bacteroides thetaiotaomicron",-0.265917266134,0.029,0.0724431867653461
"53","Bacteroides caccae","Bacteroides thetaiotaomicron",0.501343113665,0,0
"54","Bacteroides cellulosilyticus","Bacteroides thetaiotaomicron",0.610872055714,0,0
"55","Bacteroides fragilis","Bacteroides thetaiotaomicron",0.794677688722,0,0
"56","Bifidobacterium adolescentis","Butyricimonas faecalis",-0.117955227953,0.364,0.502376909200241
"57","Bifidobacterium angulatum","Butyricimonas faecalis",-0.321285764124,0.007,0.0226670428893905
"58","Bifidobacterium breve","Butyricimonas faecalis",-0.387043629577,0.002,0.00799721254355401
"59","Bifidobacterium catenulatum","Butyricimonas faecalis",-0.334046767715,0.001,0.0044155444401693
"60","Bifidobacterium longum","Butyricimonas faecalis",-0.194854463298,0.115,0.212655494682565
"61","Bifidobacterium pseudocatenulatum","Butyricimonas faecalis",-0.248655091842,0.051,0.11325
"62","Atopobium parvulum","Butyricimonas faecalis",-0.583813881174,0,0
"63","Bacteroides caccae","Butyricimonas faecalis",0.607822466705,0,0
"64","Bacteroides cellulosilyticus","Butyricimonas faecalis",0.639051337164,0,0
"65","Bacteroides fragilis","Butyricimonas faecalis",0.679639350399,0,0
"66","Bacteroides thetaiotaomicron","Butyricimonas faecalis",0.65431777807,0,0
"67","Bifidobacterium adolescentis","Odoribacter splanchnicus",-0.155524278632,0.213,0.339356934610579
"68","Bifidobacterium angulatum","Odoribacter splanchnicus",-0.299522692966,0.015,0.0422015199803873
"69","Bifidobacterium breve","Odoribacter splanchnicus",-0.321835271018,0.01,0.0303196829590489
"70","Bifidobacterium catenulatum","Odoribacter splanchnicus",-0.270690833541,0.035,0.0838713718939236
"71","Bifidobacterium longum","Odoribacter splanchnicus",-0.192171453558,0.12,0.219566326530612
"72","Bifidobacterium pseudocatenulatum","Odoribacter splanchnicus",-0.194021461647,0.12,0.219566326530612
"73","Atopobium parvulum","Odoribacter splanchnicus",-0.560745608072,0,0
"74","Bacteroides caccae","Odoribacter splanchnicus",0.567674813015,0,0
"75","Bacteroides cellulosilyticus","Odoribacter splanchnicus",0.650539185437,0,0
"76","Bacteroides fragilis","Odoribacter splanchnicus",0.724871761402,0,0
"77","Bacteroides thetaiotaomicron","Odoribacter splanchnicus",0.742163779583,0,0
"78","Butyricimonas faecalis","Odoribacter splanchnicus",0.795036272405,0,0
"79","Bifidobacterium adolescentis","Porphyromonas asaccharolytica",-0.0773027183037,0.531,0.660641370338248
"80","Bifidobacterium angulatum","Porphyromonas asaccharolytica",-0.23037107308,0.07,0.145318379160637
"81","Bifidobacterium breve","Porphyromonas asaccharolytica",-0.401817283472,0.001,0.0044155444401693
"82","Bifidobacterium catenulatum","Porphyromonas asaccharolytica",-0.310769060968,0.012,0.0352294704528012
"83","Bifidobacterium longum","Porphyromonas asaccharolytica",-0.316681593387,0.012,0.0352294704528012
"84","Bifidobacterium pseudocatenulatum","Porphyromonas asaccharolytica",-0.155123872863,0.193,0.316364519354378
"85","Atopobium parvulum","Porphyromonas asaccharolytica",-0.451505220322,0,0
"86","Bacteroides caccae","Porphyromonas asaccharolytica",0.438365235549,0,0
"87","Bacteroides cellulosilyticus","Porphyromonas asaccharolytica",0.509708983859,0,0
"88","Bacteroides fragilis","Porphyromonas asaccharolytica",0.44712420454,0,0
"89","Bacteroides thetaiotaomicron","Porphyromonas asaccharolytica",0.371493074141,0.003,0.0113101182654402
"90","Butyricimonas faecalis","Porphyromonas asaccharolytica",0.670717009226,0,0
"91","Odoribacter splanchnicus","Porphyromonas asaccharolytica",0.600328765705,0,0
"92","Bifidobacterium adolescentis","Porphyromonas crevioricanis",-0.197984269151,0.1,0.191075591075591
"93","Bifidobacterium angulatum","Porphyromonas crevioricanis",-0.342024049719,0.004,0.0143226209048362
"94","Bifidobacterium breve","Porphyromonas crevioricanis",-0.309963429196,0.013,0.0377404502909183
"95","Bifidobacterium catenulatum","Porphyromonas crevioricanis",-0.337336691234,0.003,0.0113101182654402
"96","Bifidobacterium longum","Porphyromonas crevioricanis",-0.229892744751,0.067,0.140488214873013
"97","Bifidobacterium pseudocatenulatum","Porphyromonas crevioricanis",-0.23313292494,0.063,0.133762812210916
"98","Atopobium parvulum","Porphyromonas crevioricanis",-0.47924031682,0.001,0.0044155444401693
"99","Bacteroides caccae","Porphyromonas crevioricanis",0.425291885788,0,0
"100","Bacteroides cellulosilyticus","Porphyromonas crevioricanis",0.595708419087,0,0
"101","Bacteroides fragilis","Porphyromonas crevioricanis",0.601470207207,0,0
"102","Bacteroides thetaiotaomicron","Porphyromonas crevioricanis",0.572421072085,0,0
"103","Butyricimonas faecalis","Porphyromonas crevioricanis",0.729289710081,0,0
