"","row","column","cor","p","fdr"
"1","Bifidobacterium adolescentis","Bifidobacterium angulatum",0.726720332814,0,0
"2","Bifidobacterium adolescentis","Bifidobacterium breve",0.481530918965,0,0
"3","Bifidobacterium angulatum","Bifidobacterium breve",0.677309979214,0,0
"4","Bifidobacterium adolescentis","Bifidobacterium catenulatum",0.661825403345,0,0
"5","Bifidobacterium angulatum","Bifidobacterium catenulatum",0.885257869441,0,0
"6","Bifidobacterium breve","Bifidobacterium catenulatum",0.687949114523,0,0
"7","Bifidobacterium adolescentis","Bifidobacterium longum",0.489309739871,0,0
"8","Bifidobacterium angulatum","Bifidobacterium longum",0.54638221789,0,0
"9","Bifidobacterium breve","Bifidobacterium longum",0.725745578259,0,0
"10","Bifidobacterium catenulatum","Bifidobacterium longum",0.547510033399,0,0
"11","Bifidobacterium adolescentis","Bifidobacterium pseudocatenulatum",0.486146856352,0,0
"12","Bifidobacterium angulatum","Bifidobacterium pseudocatenulatum",0.738147985033,0,0
"13","Bifidobacterium breve","Bifidobacterium pseudocatenulatum",0.508872357704,0,0
"14","Bifidobacterium catenulatum","Bifidobacterium pseudocatenulatum",0.907582851819,0,0
"15","Bifidobacterium longum","Bifidobacterium pseudocatenulatum",0.413006569972,0.001,0.00686774386594853
"16","Bifidobacterium adolescentis","Atopobium parvulum",0.0503653004657,0.661,0.790499791579825
"17","Bifidobacterium angulatum","Atopobium parvulum",0.203484544124,0.077,0.187214406779661
"18","Bifidobacterium breve","Atopobium parvulum",0.295169819442,0.006,0.0290042122999158
"19","Bifidobacterium catenulatum","Atopobium parvulum",0.164559569464,0.152,0.30002614379085
"20","Bifidobacterium longum","Atopobium parvulum",0.251024210954,0.028,0.0914162162162162
"21","Bifidobacterium pseudocatenulatum","Atopobium parvulum",0.193700639348,0.07,0.174862864606008
"22","Bifidobacterium adolescentis","Bacteroides caccae",-0.247527604345,0.028,0.0914162162162162
"23","Bifidobacterium angulatum","Bacteroides caccae",-0.323410634328,0.005,0.0254456762749446
"24","Bifidobacterium breve","Bacteroides caccae",-0.208796325811,0.076,0.18541156462585
"25","Bifidobacterium catenulatum","Bacteroides caccae",-0.226692442571,0.06,0.156668941979522
"26","Bifidobacterium longum","Bacteroides caccae",-0.231479309192,0.048,0.134254935413112
"27","Bifidobacterium pseudocatenulatum","Bacteroides caccae",-0.199509184998,0.085,0.20087726523888
"28","Atopobium parvulum","Bacteroides caccae",-0.112820233272,0.352,0.530194513715711
"29","Bifidobacterium adolescentis","Bacteroides cellulosilyticus",-0.161064448234,0.181,0.338243934212669
"30","Bifidobacterium angulatum","Bacteroides cellulosilyticus",-0.285432479343,0.01,0.0427889634601044
"31","Bifidobacterium breve","Bacteroides cellulosilyticus",-0.415464864752,0,0
"32","Bifidobacterium catenulatum","Bacteroides cellulosilyticus",-0.286037996327,0.014,0.0551352093342485
"33","Bifidobacterium longum","Bacteroides cellulosilyticus",-0.344880656909,0.003,0.016909626719057
"34","Bifidobacterium pseudocatenulatum","Bacteroides cellulosilyticus",-0.234310690204,0.036,0.109093213625561
"35","Atopobium parvulum","Bacteroides cellulosilyticus",-0.545139404169,0,0
"36","Bacteroides caccae","Bacteroides cellulosilyticus",0.354906358039,0.001,0.00686774386594853
"37","Bifidobacterium adolescentis","Bacteroides fragilis",-0.330608065653,0.006,0.0290042122999158
"38","Bifidobacterium angulatum","Bacteroides fragilis",-0.409538427912,0,0
"39","Bifidobacterium breve","Bacteroides fragilis",-0.191741415085,0.09,0.209161603888214
"40","Bifidobacterium catenulatum","Bacteroides fragilis",-0.324358119616,0.006,0.0290042122999158
"41","Bifidobacterium longum","Bacteroides fragilis",-0.201488883848,0.085,0.20087726523888
"42","Bifidobacterium pseudocatenulatum","Bacteroides fragilis",-0.263255084094,0.019,0.0692642947903431
"43","Atopobium parvulum","Bacteroides fragilis",-0.100256628771,0.391,0.566984584281021
