"","row","column","cor","p","fdr"
"1","Bifidobacterium adolescentis","Bifidobacterium angulatum",0.675774086581,0,0
"2","Bifidobacterium adolescentis","Bifidobacterium breve",0.421294280252,0.004,0.0318556557945871
"3","Bifidobacterium angulatum","Bifidobacterium breve",0.734866803364,0,0
"4","Bifidobacterium adolescentis","Bifidobacterium catenulatum",0.554979987167,0,0
"5","Bifidobacterium angulatum","Bifidobacterium catenulatum",0.843753481673,0,0
"6","Bifidobacterium breve","Bifidobacterium catenulatum",0.758176408323,0,0
"7","Bifidobacterium adolescentis","Bifidobacterium longum",0.390434263783,0.007,0.0491026894865526
"8","Bifidobacterium angulatum","Bifidobacterium longum",0.568999050756,0,0
"9","Bifidobacterium breve","Bifidobacterium longum",0.698739312044,0,0
"10","Bifidobacterium catenulatum","Bifidobacterium longum",0.686591968568,0,0
"11","Bifidobacterium adolescentis","Bifidobacterium pseudocatenulatum",0.418303875491,0.002,0.0191585976627713
"12","Bifidobacterium angulatum","Bifidobacterium pseudocatenulatum",0.700572894303,0,0
"13","Bifidobacterium breve","Bifidobacterium pseudocatenulatum",0.587820344287,0,0
"14","Bifidobacterium catenulatum","Bifidobacterium pseudocatenulatum",0.882130722949,0,0
"15","Bifidobacterium longum","Bifidobacterium pseudocatenulatum",0.628228619308,0,0
"16","Bifidobacterium adolescentis","Atopobium parvulum",-0.038505092063,0.762,0.888690243902439
"17","Bifidobacterium angulatum","Atopobium parvulum",0.102841782456,0.46,0.693504992117709
"18","Bifidobacterium breve","Atopobium parvulum",0.302263833038,0.033,0.14515446531238
"19","Bifidobacterium catenulatum","Atopobium parvulum",-0.0683208632521,0.683,0.842897946015701
"20","Bifidobacterium longum","Atopobium parvulum",0.302057282188,0.026,0.123143210895584
"21","Bifidobacterium pseudocatenulatum","Atopobium parvulum",-0.0930061830886,0.491,0.719264232831248
"22","Bifidobacterium adolescentis","Bacteroides caccae",-0.102245409444,0.464,0.696971727748691
"23","Bifidobacterium angulatum","Bacteroides caccae",-0.218207699284,0.105,0.300568720379147
"24","Bifidobacterium breve","Bacteroides caccae",-0.293071065295,0.029,0.132908945686901
"25","Bifidobacterium catenulatum","Bacteroides caccae",-0.0583524718173,0.669,0.835412840043526
"26","Bifidobacterium longum","Bacteroides caccae",-0.28402506531,0.04,0.164648493543759
"27","Bifidobacterium pseudocatenulatum","Bacteroides caccae",-0.0511756892839,0.722,0.865434719030708
"28","Atopobium parvulum","Bacteroides caccae",-0.368683058566,0.005,0.0381769793745842
"29","Bifidobacterium adolescentis","Bacteroides cellulosilyticus",-0.0826019914097,0.535,0.752778322707209
"30","Bifidobacterium angulatum","Bacteroides cellulosilyticus",-0.118425594177,0.363,0.614785714285714
"31","Bifidobacterium breve","Bacteroides cellulosilyticus",-0.174246323161,0.179,0.411334401281538
"32","Bifidobacterium catenulatum","Bacteroides cellulosilyticus",-0.0278435603586,0.831,0.924891475123654
"33","Bifidobacterium longum","Bacteroides cellulosilyticus",-0.286890235147,0.029,0.132908945686901
"34","Bifidobacterium pseudocatenulatum","Bacteroides cellulosilyticus",-0.00689236699303,0.965,0.98561231755073
"35","Atopobium parvulum","Bacteroides cellulosilyticus",-0.600133863497,0,0
"36","Bacteroides caccae","Bacteroides cellulosilyticus",0.53470327107,0,0
"37","Bifidobacterium adolescentis","Bacteroides fragilis",-0.0136461776658,0.929,0.970170534170534
"38","Bifidobacterium angulatum","Bacteroides fragilis",-0.12673798714,0.352,0.603909702496636
"39","Bifidobacterium breve","Bacteroides fragilis",-0.0654613141365,0.643,0.82117382595148
"40","Bifidobacterium catenulatum","Bacteroides fragilis",0.0108165067934,0.945,0.977715470609448
"41","Bifidobacterium longum","Bacteroides fragilis",0.0381173561318,0.775,0.897105103893484
"42","Bifidobacterium pseudocatenulatum","Bacteroides fragilis",-0.0840968047813,0.547,0.76043270745003
"43","Atopobium parvulum","Bacteroides fragilis",-0.283934643554,0.033,0.14515446531238
"44","Bacteroides caccae","Bacteroides fragilis",0.476975008398,0.001,0.0108060263653484
"45","Bacteroides cellulosilyticus","Bacteroides fragilis",0.343269716584,0.009,0.0587842914058053
"46","Bifidobacterium adolescentis","Bacteroides thetaiotaomicron",0.0295561550434,0.819,0.920102202643172
"47","Bifidobacterium angulatum","Bacteroides thetaiotaomicron",0.00485907088313,0.974,0.988523721176782
"48","Bifidobacterium breve","Bacteroides thetaiotaomicron",-0.163322005104,0.252,0.499128753883328
"49","Bifidobacterium catenulatum","Bacteroides thetaiotaomicron",0.173231215735,0.197,0.434346205571566
"50","Bifidobacterium longum","Bacteroides thetaiotaomicron",-0.206216115599,0.135,0.346823371390195
"51","Bifidobacterium pseudocatenulatum","Bacteroides thetaiotaomicron",0.165569950636,0.218,0.460645921561407
"52","Atopobium parvulum","Bacteroides thetaiotaomicron",-0.569985573025,0,0
"53","Bacteroides caccae","Bacteroides thetaiotaomicron",0.640569136246,0,0
"54","Bacteroides cellulosilyticus","Bacteroides thetaiotaomicron",0.705391405355,0,0
"55","Bacteroides fragilis","Bacteroides thetaiotaomicron",0.478880606915,0,0
"56","Bifidobacterium adolescentis","Butyricimonas faecalis",-0.0506454221406,0.697,0.852384057971014
"57","Bifidobacterium angulatum","Butyricimonas faecalis",-0.135602901429,0.313,0.567993042378242
"58","Bifidobacterium breve","Butyricimonas faecalis",-0.336835585515,0.011,0.0678688172043011
"59","Bifidobacterium catenulatum","Butyricimonas faecalis",-0.13141308385,0.32,0.574518147684606
"60","Bifidobacterium longum","Butyricimonas faecalis",-0.36314824807,0.005,0.0381769793745842
"61","Bifidobacterium pseudocatenulatum","Butyricimonas faecalis",-0.0482507903738,0.723,0.865729131886477
"62","Atopobium parvulum","Butyricimonas faecalis",-0.558281808146,0,0
"63","Bacteroides caccae","Butyricimonas faecalis",0.454718836898,0.002,0.0191585976627713
"64","Bacteroides cellulosilyticus","Butyricimonas faecalis",0.66481282341,0,0
