"","edges","AUS","CHI","FRA","GER","JAP"
"1","Bifidobacterium adolescentis_Bifidobacterium angulatum",0.657170167531,0.726720332814,0.742226619781,0.717986112547,0.554374077824
"2","Bifidobacterium adolescentis_Bifidobacterium breve",0.4190421475,0.481530918965,0.428060452216,0.307897684928,0.160989480138
"3","Bifidobacterium angulatum_Bifidobacterium breve",0.460678697489,0.677309979214,0.551577506774,0.480823206859,0.298508768022
"4","Bifidobacterium adolescentis_Bifidobacterium catenulatum",0.708799861094,0.661825403345,0.450551240006,0.540027329413,0.531719274993
"5","Bifidobacterium angulatum_Bifidobacterium catenulatum",0.741132561232,0.885257869441,0.703916351715,0.688415347711,0.677544067477
"6","Bifidobacterium breve_Bifidobacterium catenulatum",0.452030929168,0.687949114523,0.545764561993,0.623572292801,0.477718731451
"7","Bifidobacterium adolescentis_Bifidobacterium longum",0.472674133244,0.489309739871,0.582317264948,0.343725359707,0.382575458976
"8","Bifidobacterium angulatum_Bifidobacterium longum",0.486035911257,0.54638221789,0.586679447313,0.380706081318,0.394043547628
"9","Bifidobacterium breve_Bifidobacterium longum",0.656917346481,0.725745578259,0.780689846377,0.540858344832,0.640730015416
"10","Bifidobacterium catenulatum_Bifidobacterium longum",0.442707252293,0.547510033399,0.50029655098,0.459670912467,0.540280461612
"11","Bifidobacterium adolescentis_Bifidobacterium pseudocatenulatum",0.483361134362,0.486146856352,0.380252329509,0.295715690789,0.383545145261
"12","Bifidobacterium angulatum_Bifidobacterium pseudocatenulatum",0.399377635169,0.738147985033,0.585540093349,0.438188463261,0.556937967392
"13","Bifidobacterium breve_Bifidobacterium pseudocatenulatum",0.456354328923,0.508872357704,0.598533108874,0.517718039714,0.314157526467
"14","Bifidobacterium catenulatum_Bifidobacterium pseudocatenulatum",0.67876945251,0.907582851819,0.797343645762,0.754116060413,0.840318351884
"15","Bifidobacterium longum_Bifidobacterium pseudocatenulatum",0.363442538487,0.413006569972,0.556212484965,0.40603160566,0.406076380457
"16","Bifidobacterium adolescentis_Atopobium parvulum",0.163354311809,0.0503653004657,-0.0188137784274,-0.05592509134,-0.0518805667559
"17","Bifidobacterium angulatum_Atopobium parvulum",0.193306297001,0.203484544124,0.0693866527405,0.0287251707327,0.0723836732491
"18","Bifidobacterium breve_Atopobium parvulum",0.196224950411,0.295169819442,0.0714560520004,-0.12857630367,-0.0612998941192
"19","Bifidobacterium catenulatum_Atopobium parvulum",0.145389023939,0.164559569464,-0.0127901135549,-0.199234881566,0.00824753378769
"20","Bifidobacterium longum_Atopobium parvulum",0.170411793606,0.251024210954,0.108733208344,-0.143836111145,-0.094681446052
"21","Bifidobacterium pseudocatenulatum_Atopobium parvulum",0.103357606467,0.193700639348,0.163345874667,-0.255076433149,-0.000306588002138
"22","Bifidobacterium adolescentis_Bacteroides caccae",-0.146771620151,-0.247527604345,0.113964596807,0.0739742885487,-0.1088365367
"23","Bifidobacterium angulatum_Bacteroides caccae",-0.323420633678,-0.323410634328,0.0975777291956,-0.0238951209361,-0.170413180997
"24","Bifidobacterium breve_Bacteroides caccae",-0.139996295009,-0.208796325811,-0.0514877076057,-0.00347712791648,-0.0176941858239
"25","Bifidobacterium catenulatum_Bacteroides caccae",-0.245039672787,-0.226692442571,0.0981004795606,0.129195468054,-0.0788002445424
"26","Bifidobacterium longum_Bacteroides caccae",-0.0651852196095,-0.231479309192,0.1043750514,0.247413818301,0.0163047692044
