"","edges","AUS","CHI","FRA","GER","JAP"
"1","Bifidobacterium adolescentis_Bifidobacterium angulatum",0,0,0,0,0
"2","Bifidobacterium adolescentis_Bifidobacterium breve",0.005,0,0.002,0.016,0.008
"3","Bifidobacterium angulatum_Bifidobacterium breve",0.001,0,0,0,0
"4","Bifidobacterium adolescentis_Bifidobacterium catenulatum",0,0,0,0,0
"5","Bifidobacterium angulatum_Bifidobacterium catenulatum",0,0,0,0,0
"6","Bifidobacterium breve_Bifidobacterium catenulatum",0.002,0,0,0,0
"7","Bifidobacterium adolescentis_Bifidobacterium longum",0,0,0,0.009,0
"8","Bifidobacterium angulatum_Bifidobacterium longum",0,0,0,0.001,0
"9","Bifidobacterium breve_Bifidobacterium longum",0,0,0,0,0
"10","Bifidobacterium catenulatum_Bifidobacterium longum",0.001,0,0,0,0
"11","Bifidobacterium adolescentis_Bifidobacterium pseudocatenulatum",0,0,0.004,0.019,0
"12","Bifidobacterium angulatum_Bifidobacterium pseudocatenulatum",0.006,0,0,0,0
"13","Bifidobacterium breve_Bifidobacterium pseudocatenulatum",0,0,0,0,0
"14","Bifidobacterium catenulatum_Bifidobacterium pseudocatenulatum",0,0,0,0,0
"15","Bifidobacterium longum_Bifidobacterium pseudocatenulatum",0.01,0.001,0,0.001,0
"16","Bifidobacterium adolescentis_Atopobium parvulum",0.279,0.661,0.91,0.676,0.399
"17","Bifidobacterium angulatum_Atopobium parvulum",0.208,0.077,0.635,0.826,0.259
"18","Bifidobacterium breve_Atopobium parvulum",0.189,0.006,0.606,0.334,0.328
"19","Bifidobacterium catenulatum_Atopobium parvulum",0.303,0.152,0.941,0.146,0.895
"20","Bifidobacterium longum_Atopobium parvulum",0.26,0.028,0.417,0.276,0.113
"21","Bifidobacterium pseudocatenulatum_Atopobium parvulum",0.494,0.07,0.239,0.039,0.996
"22","Bifidobacterium adolescentis_Bacteroides caccae",0.341,0.028,0.443,0.576,0.09
"23","Bifidobacterium angulatum_Bacteroides caccae",0.036,0.005,0.48,0.85,0.009
"24","Bifidobacterium breve_Bacteroides caccae",0.35,0.076,0.707,0.988,0.797
"25","Bifidobacterium catenulatum_Bacteroides caccae",0.112,0.06,0.487,0.313,0.205
"26","Bifidobacterium longum_Bacteroides caccae",0.659,0.048,0.46,0.045,0.79
"27","Bifidobacterium pseudocatenulatum_Bacteroides caccae",0.338,0.085,0.214,0.07,0.595
"28","Atopobium parvulum_Bacteroides caccae",0.017,0.352,0.178,0.306,0.191
"29","Bifidobacterium adolescentis_Bacteroides cellulosilyticus",0.001,0.181,0.134,0,0.079
"30","Bifidobacterium angulatum_Bacteroides cellulosilyticus",0.155,0.01,0.077,0.038,0
"31","Bifidobacterium breve_Bacteroides cellulosilyticus",0.653,0,0.237,0.951,0.402
"32","Bifidobacterium catenulatum_Bacteroides cellulosilyticus",0.028,0.014,0.36,0.144,0.01
"33","Bifidobacterium longum_Bacteroides cellulosilyticus",0.753,0.003,0.735,0.72,0.112
"34","Bifidobacterium pseudocatenulatum_Bacteroides cellulosilyticus",0.061,0.036,0.25,0.96,0.208
"35","Atopobium parvulum_Bacteroides cellulosilyticus",0.298,0,0.028,0.466,0
"36","Bacteroides caccae_Bacteroides cellulosilyticus",0.008,0.001,0.105,0.215,0
"37","Bifidobacterium adolescentis_Bacteroides fragilis",0,0.006,0.763,0.006,0
"38","Bifidobacterium angulatum_Bacteroides fragilis",0.01,0,0.762,0.081,0
"39","Bifidobacterium breve_Bacteroides fragilis",0.095,0.09,0.378,0.621,0.431
"40","Bifidobacterium catenulatum_Bacteroides fragilis",0.002,0.006,0.913,0.26,0.001
"41","Bifidobacterium longum_Bacteroides fragilis",0.364,0.085,0.846,0.311,0.121
"42","Bifidobacterium pseudocatenulatum_Bacteroides fragilis",0.001,0.019,0.738,0.699,0.038
"43","Atopobium parvulum_Bacteroides fragilis",0.119,0.391,0.75,0.346,0.832
"44","Bacteroides caccae_Bacteroides fragilis",0.003,0.26,0.003,0.305,0
"45","Bacteroides cellulosilyticus_Bacteroides fragilis",0,0.005,0.008,0.01,0
"46","Bifidobacterium adolescentis_Bacteroides thetaiotaomicron",0.112,0.034,0.185,0.008,0
"47","Bifidobacterium angulatum_Bacteroides thetaiotaomicron",0.015,0.002,0.085,0.029,0
"48","Bifidobacterium breve_Bacteroides thetaiotaomicron",0.021,0.053,0.024,0.922,0.697
"49","Bifidobacterium catenulatum_Bacteroides thetaiotaomicron",0.055,0.01,0.209,0.339,0
"50","Bifidobacterium longum_Bacteroides thetaiotaomicron",0.445,0.197,0.223,0.183,0.047
"51","Bifidobacterium pseudocatenulatum_Bacteroides thetaiotaomicron",0.033,0.009,0.058,0.851,0.012
"52","Atopobium parvulum_Bacteroides thetaiotaomicron",0.527,0.001,0.011,0.865,0.075
"53","Bacteroides caccae_Bacteroides thetaiotaomicron",0,0,0.118,0.156,0
"54","Bacteroides cellulosilyticus_Bacteroides thetaiotaomicron",0,0,0,0.008,0
"55","Bacteroides fragilis_Bacteroides thetaiotaomicron",0,0,0,0,0
"56","Bifidobacterium adolescentis_Butyricimonas faecalis",0.34,0.076,0.908,0.721,0.312
"57","Bifidobacterium angulatum_Butyricimonas faecalis",0.204,0.004,0.586,0.342,0.532
"58","Bifidobacterium breve_Butyricimonas faecalis",0.007,0,0.54,0.075,0
"59","Bifidobacterium catenulatum_Butyricimonas faecalis",0.226,0,0.869,0.36,0.006
"60","Bifidobacterium longum_Butyricimonas faecalis",0.074,0.001,0.452,0.019,0.045
"61","Bifidobacterium pseudocatenulatum_Butyricimonas faecalis",0.024,0.003,0.392,0.413,0.017
"62","Atopobium parvulum_Butyricimonas faecalis",0.027,0.001,0.169,0.292,0.008
"63","Bacteroides caccae_Butyricimonas faecalis",0,0,0.06,0.794,0.002
"64","Bacteroides cellulosilyticus_Butyricimonas faecalis",0,0,0,0.284,0
"65","Bacteroides fragilis_Butyricimonas faecalis",0,0.021,0.002,0.963,0.278
"66","Bacteroides thetaiotaomicron_Butyricimonas faecalis",0,0,0,0.221,0
"67","Bifidobacterium adolescentis_Odoribacter splanchnicus",0.026,0.408,0.992,0.784,0.728
"68","Bifidobacterium angulatum_Odoribacter splanchnicus",0.043,0.072,0.626,0.144,0
"69","Bifidobacterium breve_Odoribacter splanchnicus",0.009,0,0.035,0.23,0.104
"70","Bifidobacterium catenulatum_Odoribacter splanchnicus",0.12,0.023,0.235,0.32,0.007
"71","Bifidobacterium longum_Odoribacter splanchnicus",0.146,0.008,0.554,0.318,0.657
"72","Bifidobacterium pseudocatenulatum_Odoribacter splanchnicus",0.024,0.06,0.078,0.483,0.008
"73","Atopobium parvulum_Odoribacter splanchnicus",0.007,0.001,0.05,0.643,0
"74","Bacteroides caccae_Odoribacter splanchnicus",0,0,0.007,0.98,0
"75","Bacteroides cellulosilyticus_Odoribacter splanchnicus",0,0,0,0.242,0
"76","Bacteroides fragilis_Odoribacter splanchnicus",0,0.13,0,0.235,0
"77","Bacteroides thetaiotaomicron_Odoribacter splanchnicus",0,0,0,0.233,0.014
"78","Butyricimonas faecalis_Odoribacter splanchnicus",0,0,0,0.062,0
"79","Bifidobacterium adolescentis_Porphyromonas asaccharolytica",0.853,0.005,0.711,0.031,0.003
"80","Bifidobacterium angulatum_Porphyromonas asaccharolytica",0.931,0.027,0.647,0.308,0.043
