"","row","column","cor","p","fdr"
"1","Bifidobacterium adolescentis","Bifidobacterium angulatum",0.742226619781,0,0
"2","Bifidobacterium adolescentis","Bifidobacterium breve",0.428060452216,0.002,0.01208
"3","Bifidobacterium angulatum","Bifidobacterium breve",0.551577506774,0,0
"4","Bifidobacterium adolescentis","Bifidobacterium catenulatum",0.450551240006,0,0
"5","Bifidobacterium angulatum","Bifidobacterium catenulatum",0.703916351715,0,0
"6","Bifidobacterium breve","Bifidobacterium catenulatum",0.545764561993,0,0
"7","Bifidobacterium adolescentis","Bifidobacterium longum",0.582317264948,0,0
"8","Bifidobacterium angulatum","Bifidobacterium longum",0.586679447313,0,0
"9","Bifidobacterium breve","Bifidobacterium longum",0.780689846377,0,0
"10","Bifidobacterium catenulatum","Bifidobacterium longum",0.50029655098,0,0
"11","Bifidobacterium adolescentis","Bifidobacterium pseudocatenulatum",0.380252329509,0.004,0.0205663082437276
"12","Bifidobacterium angulatum","Bifidobacterium pseudocatenulatum",0.585540093349,0,0
"13","Bifidobacterium breve","Bifidobacterium pseudocatenulatum",0.598533108874,0,0
"14","Bifidobacterium catenulatum","Bifidobacterium pseudocatenulatum",0.797343645762,0,0
"15","Bifidobacterium longum","Bifidobacterium pseudocatenulatum",0.556212484965,0,0
"16","Bifidobacterium adolescentis","Atopobium parvulum",-0.0188137784274,0.91,0.94911933109152
"17","Bifidobacterium angulatum","Atopobium parvulum",0.0693866527405,0.635,0.768293094359515
"18","Bifidobacterium breve","Atopobium parvulum",0.0714560520004,0.606,0.746666952974018
"19","Bifidobacterium catenulatum","Atopobium parvulum",-0.0127901135549,0.941,0.966432432432432
"20","Bifidobacterium longum","Atopobium parvulum",0.108733208344,0.417,0.58416650390625
"21","Bifidobacterium pseudocatenulatum","Atopobium parvulum",0.163345874667,0.239,0.402223786478956
"22","Bifidobacterium adolescentis","Bacteroides caccae",0.113964596807,0.443,0.607827355332377
"23","Bifidobacterium angulatum","Bacteroides caccae",0.0975777291956,0.48,0.63933147632312
"24","Bifidobacterium breve","Bacteroides caccae",-0.0514877076057,0.707,0.819797110235425
"25","Bifidobacterium catenulatum","Bacteroides caccae",0.0981004795606,0.487,0.645657578558225
"26","Bifidobacterium longum","Bacteroides caccae",0.1043750514,0.46,0.622005420054201
"27","Bifidobacterium pseudocatenulatum","Bacteroides caccae",0.162332004628,0.214,0.372891588217431
"28","Atopobium parvulum","Bacteroides caccae",-0.187028363217,0.178,0.328624195624196
"29","Bifidobacterium adolescentis","Bacteroides cellulosilyticus",-0.217175565585,0.134,0.269644748378047
"30","Bifidobacterium angulatum","Bacteroides cellulosilyticus",-0.240564090155,0.077,0.181821399176955
"31","Bifidobacterium breve","Bacteroides cellulosilyticus",-0.157442280553,0.237,0.399854748603352
"32","Bifidobacterium catenulatum","Bacteroides cellulosilyticus",-0.125936971168,0.36,0.531501350829795
"33","Bifidobacterium longum","Bacteroides cellulosilyticus",-0.0489400692998,0.735,0.838205306568618
"34","Bifidobacterium pseudocatenulatum","Bacteroides cellulosilyticus",-0.155001916423,0.25,0.414835164835165
