"","row","column","cor","p","fdr"
"1","Bifidobacterium adolescentis","Bifidobacterium angulatum",0.701951597323,0,0
"2","Bifidobacterium adolescentis","Bifidobacterium breve",0.334637809787,0.008,0.0559123020706456
"3","Bifidobacterium angulatum","Bifidobacterium breve",0.46426347728,0,0
"4","Bifidobacterium adolescentis","Bifidobacterium catenulatum",0.586487223256,0,0
"5","Bifidobacterium angulatum","Bifidobacterium catenulatum",0.613320034507,0,0
"6","Bifidobacterium breve","Bifidobacterium catenulatum",0.500514613143,0,0
"7","Bifidobacterium adolescentis","Bifidobacterium longum",0.459998601239,0,0
"8","Bifidobacterium angulatum","Bifidobacterium longum",0.457708498271,0.001,0.0112399608227228
"9","Bifidobacterium breve","Bifidobacterium longum",0.724504984145,0,0
"10","Bifidobacterium catenulatum","Bifidobacterium longum",0.555109051058,0,0
"11","Bifidobacterium adolescentis","Bifidobacterium pseudocatenulatum",0.496521397708,0,0
"12","Bifidobacterium angulatum","Bifidobacterium pseudocatenulatum",0.55245110093,0,0
"13","Bifidobacterium breve","Bifidobacterium pseudocatenulatum",0.558994086049,0,0
"14","Bifidobacterium catenulatum","Bifidobacterium pseudocatenulatum",0.827847867908,0,0
"15","Bifidobacterium longum","Bifidobacterium pseudocatenulatum",0.5956760955,0,0
"16","Bifidobacterium adolescentis","Atopobium parvulum",0.159609392545,0.22,0.45812375249501
"17","Bifidobacterium angulatum","Atopobium parvulum",0.139119767794,0.292,0.538139071784166
"18","Bifidobacterium breve","Atopobium parvulum",0.120512147976,0.361,0.603472104879825
"19","Bifidobacterium catenulatum","Atopobium parvulum",0.115540381588,0.355,0.599202823944698
"20","Bifidobacterium longum","Atopobium parvulum",0.0660462721691,0.625,0.806080017981569
"21","Bifidobacterium pseudocatenulatum","Atopobium parvulum",0.166844431064,0.204,0.439478881171391
"22","Bifidobacterium adolescentis","Bacteroides caccae",-0.218213195228,0.09,0.271585590323429
"23","Bifidobacterium angulatum","Bacteroides caccae",-0.278447209025,0.029,0.131595096876236
"24","Bifidobacterium breve","Bacteroides caccae",-0.396441929021,0.001,0.0112399608227228
"25","Bifidobacterium catenulatum","Bacteroides caccae",-0.349675162022,0.006,0.0457211155378486
