"","row","column","cor","p","fdr"
"1","Bifidobacterium adolescentis","Bifidobacterium angulatum",0.717986112547,0,0
"2","Bifidobacterium adolescentis","Bifidobacterium breve",0.307897684928,0.016,0.0712795031055901
"3","Bifidobacterium angulatum","Bifidobacterium breve",0.480823206859,0,0
"4","Bifidobacterium adolescentis","Bifidobacterium catenulatum",0.540027329413,0,0
"5","Bifidobacterium angulatum","Bifidobacterium catenulatum",0.688415347711,0,0
"6","Bifidobacterium breve","Bifidobacterium catenulatum",0.623572292801,0,0
"7","Bifidobacterium adolescentis","Bifidobacterium longum",0.343725359707,0.009,0.0472479414455627
"8","Bifidobacterium angulatum","Bifidobacterium longum",0.380706081318,0.001,0.00914422310756972
"9","Bifidobacterium breve","Bifidobacterium longum",0.540858344832,0,0
"10","Bifidobacterium catenulatum","Bifidobacterium longum",0.459670912467,0,0
"11","Bifidobacterium adolescentis","Bifidobacterium pseudocatenulatum",0.295715690789,0.019,0.0802222222222222
"12","Bifidobacterium angulatum","Bifidobacterium pseudocatenulatum",0.438188463261,0,0
"13","Bifidobacterium breve","Bifidobacterium pseudocatenulatum",0.517718039714,0,0
"14","Bifidobacterium catenulatum","Bifidobacterium pseudocatenulatum",0.754116060413,0,0
"15","Bifidobacterium longum","Bifidobacterium pseudocatenulatum",0.40603160566,0.001,0.00914422310756972
"16","Bifidobacterium adolescentis","Atopobium parvulum",-0.05592509134,0.676,0.816779953674458
"17","Bifidobacterium angulatum","Atopobium parvulum",0.0287251707327,0.826,0.905451905626134
"18","Bifidobacterium breve","Atopobium parvulum",-0.12857630367,0.334,0.540770880361174
"19","Bifidobacterium catenulatum","Atopobium parvulum",-0.199234881566,0.146,0.314942857142857
"20","Bifidobacterium longum","Atopobium parvulum",-0.143836111145,0.276,0.479687414811449
"21","Bifidobacterium pseudocatenulatum","Atopobium parvulum",-0.255076433149,0.039,0.130981562774363
"22","Bifidobacterium adolescentis","Bacteroides caccae",0.0739742885487,0.576,0.74539648173207
"23","Bifidobacterium angulatum","Bacteroides caccae",-0.0238951209361,0.85,0.919031467872621
"24","Bifidobacterium breve","Bacteroides caccae",-0.00347712791648,0.988,0.994761186173013
"25","Bifidobacterium catenulatum","Bacteroides caccae",0.129195468054,0.313,0.519749385038345
"26","Bifidobacterium longum","Bacteroides caccae",0.247413818301,0.045,0.144251396648045
"27","Bifidobacterium pseudocatenulatum","Bacteroides caccae",0.238281931889,0.07,0.193384689455946
"28","Atopobium parvulum","Bacteroides caccae",-0.139104826008,0.306,0.51220186697783
"29","Bifidobacterium adolescentis","Bacteroides cellulosilyticus",-0.429052565796,0,0
"30","Bifidobacterium angulatum","Bacteroides cellulosilyticus",-0.267916730074,0.038,0.128336668628605
"31","Bifidobacterium breve","Bacteroides cellulosilyticus",-0.0064065467944,0.951,0.975829399141631
"32","Bifidobacterium catenulatum","Bacteroides cellulosilyticus",-0.194100811265,0.144,0.312036253776435
"33","Bifidobacterium longum","Bacteroides cellulosilyticus",-0.0495843372037,0.72,0.845031703824913
"34","Bifidobacterium pseudocatenulatum","Bacteroides cellulosilyticus",0.00638950442614,0.96,0.979111269107714
"35","Atopobium parvulum","Bacteroides cellulosilyticus",-0.0930371650189,0.466,0.656334806087383
"36","Bacteroides caccae","Bacteroides cellulosilyticus",0.164715780096,0.215,0.40877070907886
"37","Bifidobacterium adolescentis","Bacteroides fragilis",-0.347204461019,0.006,0.0353651771956857
"38","Bifidobacterium angulatum","Bacteroides fragilis",-0.228551791686,0.081,0.213396694214876
"39","Bifidobacterium breve","Bacteroides fragilis",-0.060667010754,0.621,0.780227282680096
"40","Bifidobacterium catenulatum","Bacteroides fragilis",-0.142947132047,0.26,0.460670063300911
"41","Bifidobacterium longum","Bacteroides fragilis",-0.135333848175,0.311,0.517476584022039
"42","Bifidobacterium pseudocatenulatum","Bacteroides fragilis",-0.0524782491381,0.699,0.831611445158615
"43","Atopobium parvulum","Bacteroides fragilis",0.121587106737,0.346,0.551715436987634
"44","Bacteroides caccae","Bacteroides fragilis",0.135680764242,0.305,0.510975182481752
"45","Bacteroides cellulosilyticus","Bacteroides fragilis",0.330804949598,0.01,0.0508237378210806
"46","Bifidobacterium adolescentis","Bacteroides thetaiotaomicron",-0.327347676603,0.008,0.0434491244675816
"47","Bifidobacterium angulatum","Bacteroides thetaiotaomicron",-0.296838764236,0.029,0.107148744365744
"48","Bifidobacterium breve","Bacteroides thetaiotaomicron",-0.0124653609257,0.922,0.960674777555838
"49","Bifidobacterium catenulatum","Bacteroides thetaiotaomicron",-0.125700701561,0.339,0.545480089736399
"50","Bifidobacterium longum","Bacteroides thetaiotaomicron",-0.174223065694,0.183,0.367859169732002
"51","Bifidobacterium pseudocatenulatum","Bacteroides thetaiotaomicron",0.0221396045667,0.851,0.91950626118068
"52","Atopobium parvulum","Bacteroides thetaiotaomicron",-0.0200339408443,0.865,0.927732710280374
"53","Bacteroides caccae","Bacteroides thetaiotaomicron",0.179103094172,0.156,0.330244604316547
"54","Bacteroides cellulosilyticus","Bacteroides thetaiotaomicron",0.345931535876,0.008,0.0434491244675816
"55","Bacteroides fragilis","Bacteroides thetaiotaomicron",0.45236744814,0,0
"56","Bifidobacterium adolescentis","Butyricimonas faecalis",-0.0457238735411,0.721,0.84577287130737
"57","Bifidobacterium angulatum","Butyricimonas faecalis",-0.127313359143,0.342,0.54815530726257
"58","Bifidobacterium breve","Butyricimonas faecalis",-0.227543173609,0.075,0.202374794262873
"59","Bifidobacterium catenulatum","Butyricimonas faecalis",-0.118602512224,0.36,0.564393442622951
"60","Bifidobacterium longum","Butyricimonas faecalis",-0.280044940456,0.019,0.0802222222222222
"61","Bifidobacterium pseudocatenulatum","Butyricimonas faecalis",-0.104130616572,0.413,0.613380095768086
"62","Atopobium parvulum","Butyricimonas faecalis",-0.137569348317,0.292,0.497106067349058
"63","Bacteroides caccae","Butyricimonas faecalis",-0.035161349739,0.794,0.886720903075127
"64","Bacteroides cellulosilyticus","Butyricimonas faecalis",0.133223534456,0.284,0.488560035976615
"65","Bacteroides fragilis","Butyricimonas faecalis",0.00533992627306,0.963,0.980254390633316
"66","Bacteroides thetaiotaomicron","Butyricimonas faecalis",0.156670577101,0.221,0.416589356110381
