"","row","column","cor","p","fdr"
"1","Bifidobacterium adolescentis","Bifidobacterium angulatum",0.700142487195,0,0
"2","Bifidobacterium adolescentis","Bifidobacterium breve",0.554340824683,0,0
"3","Bifidobacterium angulatum","Bifidobacterium breve",0.492059199591,0,0
"4","Bifidobacterium adolescentis","Bifidobacterium catenulatum",0.688008100066,0,0
"5","Bifidobacterium angulatum","Bifidobacterium catenulatum",0.606860486576,0,0
"6","Bifidobacterium breve","Bifidobacterium catenulatum",0.486555897439,0,0
"7","Bifidobacterium adolescentis","Bifidobacterium longum",0.527654036068,0,0
"8","Bifidobacterium angulatum","Bifidobacterium longum",0.447007269942,0,0
"9","Bifidobacterium breve","Bifidobacterium longum",0.690304908796,0,0
"10","Bifidobacterium catenulatum","Bifidobacterium longum",0.47971029875,0,0
"11","Bifidobacterium adolescentis","Bifidobacterium pseudocatenulatum",0.368629343045,0.004,0.0241219127693116
"12","Bifidobacterium angulatum","Bifidobacterium pseudocatenulatum",0.404523729732,0.001,0.00798052851182197
"13","Bifidobacterium breve","Bifidobacterium pseudocatenulatum",0.423747573465,0,0
"14","Bifidobacterium catenulatum","Bifidobacterium pseudocatenulatum",0.693458441537,0,0
"15","Bifidobacterium longum","Bifidobacterium pseudocatenulatum",0.46478194072,0,0
"16","Bifidobacterium adolescentis","Atopobium parvulum",-0.0444929795717,0.742,0.864135579460118
"17","Bifidobacterium angulatum","Atopobium parvulum",0.0765776408744,0.525,0.717677188802859
"18","Bifidobacterium breve","Atopobium parvulum",-0.0237999375842,0.845,0.924689615714694
"19","Bifidobacterium catenulatum","Atopobium parvulum",-0.218459774049,0.085,0.225800925925926
"20","Bifidobacterium longum","Atopobium parvulum",0.0344414035873,0.791,0.893456299212599
"21","Bifidobacterium pseudocatenulatum","Atopobium parvulum",-0.106549782806,0.361,0.573482281284607
"22","Bifidobacterium adolescentis","Bacteroides caccae",-0.0269914299394,0.836,0.919664110429448
"23","Bifidobacterium angulatum","Bacteroides caccae",-0.177980123668,0.165,0.351632311977716
"24","Bifidobacterium breve","Bacteroides caccae",-0.079026545268,0.495,0.694282571498411
"25","Bifidobacterium catenulatum","Bacteroides caccae",0.0388153875177,0.755,0.872018921095008
"26","Bifidobacterium longum","Bacteroides caccae",-0.0677597163348,0.604,0.77611734408241
"27","Bifidobacterium pseudocatenulatum","Bacteroides caccae",-0.138913230642,0.265,0.474658966755112
"28","Atopobium parvulum","Bacteroides caccae",0.0675887481616,0.571,0.75380144944208
"29","Bifidobacterium adolescentis","Bacteroides cellulosilyticus",-0.0383835699048,0.746,0.866332321392431
"30","Bifidobacterium angulatum","Bacteroides cellulosilyticus",-0.189568120051,0.137,0.311329108910891
"31","Bifidobacterium breve","Bacteroides cellulosilyticus",-0.167514809028,0.19,0.383407772111834
"32","Bifidobacterium catenulatum","Bacteroides cellulosilyticus",-0.0902316417666,0.457,0.662941726709645
"33","Bifidobacterium longum","Bacteroides cellulosilyticus",-0.0765616782885,0.557,0.743011972567709
"34","Bifidobacterium pseudocatenulatum","Bacteroides cellulosilyticus",-0.0172395480578,0.888,0.946825977887206
"35","Atopobium parvulum","Bacteroides cellulosilyticus",-0.162179380409,0.179,0.369727141828654
"36","Bacteroides caccae","Bacteroides cellulosilyticus",0.207623228772,0.09,0.234843110504775
"37","Bifidobacterium adolescentis","Bacteroides fragilis",-0.160086139821,0.192,0.386018220042046
"38","Bifidobacterium angulatum","Bacteroides fragilis",-0.194859323297,0.118,0.281824765868887
"39","Bifidobacterium breve","Bacteroides fragilis",0.0650949488846,0.599,0.772981446081187
"40","Bifidobacterium catenulatum","Bacteroides fragilis",-0.0722303709842,0.57,0.753001036030851
"41","Bifidobacterium longum","Bacteroides fragilis",0.117795707041,0.329,0.542627766599598
"42","Bifidobacterium pseudocatenulatum","Bacteroides fragilis",0.0351816945103,0.776,0.884962337275166
"43","Atopobium parvulum","Bacteroides fragilis",-0.0552817218524,0.664,0.815590709622177
"44","Bacteroides caccae","Bacteroides fragilis",0.0589564591532,0.622,0.788127636082588
"45","Bacteroides cellulosilyticus","Bacteroides fragilis",0.0353483186112,0.76,0.874274258219727
"46","Bifidobacterium adolescentis","Bacteroides thetaiotaomicron",-0.153872271494,0.201,0.398665053577601
"47","Bifidobacterium angulatum","Bacteroides thetaiotaomicron",-0.283924019255,0.02,0.0813323883770376
"48","Bifidobacterium breve","Bacteroides thetaiotaomicron",0.00031121949566,0.997,0.999263930131004
"49","Bifidobacterium catenulatum","Bacteroides thetaiotaomicron",-0.0595313264305,0.646,0.803979611755775
"50","Bifidobacterium longum","Bacteroides thetaiotaomicron",-0.017434724311,0.885,0.945120044667783
"51","Bifidobacterium pseudocatenulatum","Bacteroides thetaiotaomicron",-0.0874832018788,0.466,0.670488465396189
"52","Atopobium parvulum","Bacteroides thetaiotaomicron",-0.033063243752,0.804,0.901749804534793
"53","Bacteroides caccae","Bacteroides thetaiotaomicron",0.458591002464,0,0
"54","Bacteroides cellulosilyticus","Bacteroides thetaiotaomicron",0.0903039578928,0.453,0.659556965237249
"55","Bacteroides fragilis","Bacteroides thetaiotaomicron",0.355095332778,0.003,0.0193090297251823
"56","Bifidobacterium adolescentis","Butyricimonas faecalis",-0.0941284589033,0.432,0.641266589057043
"57","Bifidobacterium angulatum","Butyricimonas faecalis",-0.201335606505,0.11,0.268358843537415
