"","row","column","cor","p","fdr"
"1","Bifidobacterium adolescentis","Bifidobacterium angulatum",0.554374077824,0,0
"2","Bifidobacterium adolescentis","Bifidobacterium breve",0.160989480138,0.008,0.0239332638164755
"3","Bifidobacterium angulatum","Bifidobacterium breve",0.298508768022,0,0
"4","Bifidobacterium adolescentis","Bifidobacterium catenulatum",0.531719274993,0,0
"5","Bifidobacterium angulatum","Bifidobacterium catenulatum",0.677544067477,0,0
"6","Bifidobacterium breve","Bifidobacterium catenulatum",0.477718731451,0,0
"7","Bifidobacterium adolescentis","Bifidobacterium longum",0.382575458976,0,0
"8","Bifidobacterium angulatum","Bifidobacterium longum",0.394043547628,0,0
"9","Bifidobacterium breve","Bifidobacterium longum",0.640730015416,0,0
"10","Bifidobacterium catenulatum","Bifidobacterium longum",0.540280461612,0,0
"11","Bifidobacterium adolescentis","Bifidobacterium pseudocatenulatum",0.383545145261,0,0
"12","Bifidobacterium angulatum","Bifidobacterium pseudocatenulatum",0.556937967392,0,0
"13","Bifidobacterium breve","Bifidobacterium pseudocatenulatum",0.314157526467,0,0
"14","Bifidobacterium catenulatum","Bifidobacterium pseudocatenulatum",0.840318351884,0,0
"15","Bifidobacterium longum","Bifidobacterium pseudocatenulatum",0.406076380457,0,0
"16","Bifidobacterium adolescentis","Atopobium parvulum",-0.0518805667559,0.399,0.532247355573637
"17","Bifidobacterium angulatum","Atopobium parvulum",0.0723836732491,0.259,0.388026631853786
"18","Bifidobacterium breve","Atopobium parvulum",-0.0612998941192,0.328,0.460781980658587
"19","Bifidobacterium catenulatum","Atopobium parvulum",0.00824753378769,0.895,0.932796294614476
"20","Bifidobacterium longum","Atopobium parvulum",-0.094681446052,0.113,0.207253955569762
"21","Bifidobacterium pseudocatenulatum","Atopobium parvulum",-0.000306588002138,0.996,0.997129547238943
"22","Bifidobacterium adolescentis","Bacteroides caccae",-0.1088365367,0.09,0.173411685695097
"23","Bifidobacterium angulatum","Bacteroides caccae",-0.170413180997,0.009,0.0264898691972301
"24","Bifidobacterium breve","Bacteroides caccae",-0.0176941858239,0.797,0.864823373676248
"25","Bifidobacterium catenulatum","Bacteroides caccae",-0.0788002445424,0.205,0.325301438053097
"26","Bifidobacterium longum","Bacteroides caccae",0.0163047692044,0.79,0.859421746137075
"27","Bifidobacterium pseudocatenulatum","Bacteroides caccae",0.0327841735459,0.595,0.708689154125584
"28","Atopobium parvulum","Bacteroides caccae",-0.0827013286597,0.191,0.308894588500564
"29","Bifidobacterium adolescentis","Bacteroides cellulosilyticus",-0.104893017128,0.079,0.155773883161512
"30","Bifidobacterium angulatum","Bacteroides cellulosilyticus",-0.226978356646,0,0
"31","Bifidobacterium breve","Bacteroides cellulosilyticus",-0.0510807201629,0.402,0.535502263493906
"32","Bifidobacterium catenulatum","Bacteroides cellulosilyticus",-0.151187413792,0.01,0.0288559215489062
"33","Bifidobacterium longum","Bacteroides cellulosilyticus",-0.101584403675,0.112,0.206045527412632
"34","Bifidobacterium pseudocatenulatum","Bacteroides cellulosilyticus",-0.0780337437475,0.208,0.328788980716253
"35","Atopobium parvulum","Bacteroides cellulosilyticus",-0.307684992068,0,0
"36","Bacteroides caccae","Bacteroides cellulosilyticus",0.217025742062,0,0
"37","Bifidobacterium adolescentis","Bacteroides fragilis",-0.246778387719,0,0
"38","Bifidobacterium angulatum","Bacteroides fragilis",-0.30131870293,0,0
"39","Bifidobacterium breve","Bacteroides fragilis",-0.0476814757104,0.431,0.563536060157229
"40","Bifidobacterium catenulatum","Bacteroides fragilis",-0.216188007255,0.001,0.00383941117430579
"41","Bifidobacterium longum","Bacteroides fragilis",-0.0952837902122,0.121,0.21850448465775
"42","Bifidobacterium pseudocatenulatum","Bacteroides fragilis",-0.127172619891,0.038,0.0867491545653471
"43","Atopobium parvulum","Bacteroides fragilis",0.0148305479514,0.832,0.89009340915447
"44","Bacteroides caccae","Bacteroides fragilis",0.201026820654,0,0
"45","Bacteroides cellulosilyticus","Bacteroides fragilis",0.216238353881,0,0
"46","Bifidobacterium adolescentis","Bacteroides thetaiotaomicron",-0.240424775404,0,0
"47","Bifidobacterium angulatum","Bacteroides thetaiotaomicron",-0.30114014959,0,0
"48","Bifidobacterium breve","Bacteroides thetaiotaomicron",0.022361569314,0.697,0.790002172839506
"49","Bifidobacterium catenulatum","Bacteroides thetaiotaomicron",-0.240302879741,0,0
"50","Bifidobacterium longum","Bacteroides thetaiotaomicron",-0.124940419848,0.047,0.102972890416189
"51","Bifidobacterium pseudocatenulatum","Bacteroides thetaiotaomicron",-0.168005491702,0.012,0.03362109375
"52","Atopobium parvulum","Bacteroides thetaiotaomicron",-0.108906457501,0.075,0.14934929724102
"53","Bacteroides caccae","Bacteroides thetaiotaomicron",0.313525967827,0,0
"54","Bacteroides cellulosilyticus","Bacteroides thetaiotaomicron",0.287812955288,0,0
"55","Bacteroides fragilis","Bacteroides thetaiotaomicron",0.476699145114,0,0
"56","Bifidobacterium adolescentis","Butyricimonas faecalis",0.0630349693845,0.312,0.445337313432836
"57","Bifidobacterium angulatum","Butyricimonas faecalis",-0.0379465485682,0.532,0.65534907685702
"58","Bifidobacterium breve","Butyricimonas faecalis",-0.241453565398,0,0
"59","Bifidobacterium catenulatum","Butyricimonas faecalis",-0.181480014871,0.006,0.018721044045677
"60","Bifidobacterium longum","Butyricimonas faecalis",-0.127156019221,0.045,0.0994837218262377
"61","Bifidobacterium pseudocatenulatum","Butyricimonas faecalis",-0.145803251419,0.017,0.044766406608536
"62","Atopobium parvulum","Butyricimonas faecalis",-0.181202608999,0.008,0.0239332638164755
"63","Bacteroides caccae","Butyricimonas faecalis",0.204780224305,0.002,0.00714792899408284
"64","Bacteroides cellulosilyticus","Butyricimonas faecalis",0.365442786767,0,0
"65","Bacteroides fragilis","Butyricimonas faecalis",0.0655150878296,0.278,0.409383805979725
"66","Bacteroides thetaiotaomicron","Butyricimonas faecalis",0.19847422716,0,0
"67","Bifidobacterium adolescentis","Odoribacter splanchnicus",0.0208671794988,0.728,0.814837413439969
"68","Bifidobacterium angulatum","Odoribacter splanchnicus",-0.238187861133,0,0
"69","Bifidobacterium breve","Odoribacter splanchnicus",-0.10005216444,0.104,0.194350105845953
"70","Bifidobacterium catenulatum","Odoribacter splanchnicus",-0.177410600657,0.007,0.021410447761194
"71","Bifidobacterium longum","Odoribacter splanchnicus",-0.0264582235742,0.657,0.759747279322854
"72","Bifidobacterium pseudocatenulatum","Odoribacter splanchnicus",-0.1591387998,0.008,0.0239332638164755
"73","Atopobium parvulum","Odoribacter splanchnicus",-0.273019607114,0,0
"74","Bacteroides caccae","Odoribacter splanchnicus",0.29270216627,0,0
"75","Bacteroides cellulosilyticus","Odoribacter splanchnicus",0.338725440667,0,0
"76","Bacteroides fragilis","Odoribacter splanchnicus",0.21079957607,0,0
"77","Bacteroides thetaiotaomicron","Odoribacter splanchnicus",0.146404301985,0.014,0.0382169362511893
"78","Butyricimonas faecalis","Odoribacter splanchnicus",0.428855493074,0,0
"79","Bifidobacterium adolescentis","Porphyromonas asaccharolytica",0.185584123477,0.003,0.0102433799464445
"80","Bifidobacterium angulatum","Porphyromonas asaccharolytica",0.122700421977,0.043,0.0957818322981366
"81","Bifidobacterium breve","Porphyromonas asaccharolytica",-0.261132693857,0,0
"82","Bifidobacterium catenulatum","Porphyromonas asaccharolytica",-0.107686647801,0.081,0.158898461538462
"83","Bifidobacterium longum","Porphyromonas asaccharolytica",-0.122186329236,0.053,0.113074549172709
"84","Bifidobacterium pseudocatenulatum","Porphyromonas asaccharolytica",-0.10252287092,0.097,0.183995371900826
"85","Atopobium parvulum","Porphyromonas asaccharolytica",-0.0430322687262,0.465,0.595972749609113
"86","Bacteroides caccae","Porphyromonas asaccharolytica",0.0355357496745,0.547,0.6686591393268
"87","Bacteroides cellulosilyticus","Porphyromonas asaccharolytica",0.0916830938249,0.168,0.280187182095626
"88","Bacteroides fragilis","Porphyromonas asaccharolytica",-0.118249635309,0.055,0.116453874538745
"89","Bacteroides thetaiotaomicron","Porphyromonas asaccharolytica",-0.153459302027,0.008,0.0239332638164755
"90","Butyricimonas faecalis","Porphyromonas asaccharolytica",0.323912545401,0,0
"91","Odoribacter splanchnicus","Porphyromonas asaccharolytica",0.112439850441,0.06,0.12487486398259
"92","Bifidobacterium adolescentis","Porphyromonas crevioricanis",0.0813134095138,0.183,0.299245939013964
"93","Bifidobacterium angulatum","Porphyromonas crevioricanis",0.0375517651118,0.541,0.663515656727584
"94","Bifidobacterium breve","Porphyromonas crevioricanis",-0.243388697683,0.001,0.00383941117430579
"95","Bifidobacterium catenulatum","Porphyromonas crevioricanis",-0.204327541857,0.002,0.00714792899408284
"96","Bifidobacterium longum","Porphyromonas crevioricanis",-0.118284117341,0.042,0.0939006428988895
"97","Bifidobacterium pseudocatenulatum","Porphyromonas crevioricanis",-0.178242383322,0.002,0.00714792899408284
"98","Atopobium parvulum","Porphyromonas crevioricanis",-0.0428778060071,0.523,0.648158531317495
"99","Bacteroides caccae","Porphyromonas crevioricanis",0.142368239646,0.03,0.0713681592039801
"100","Bacteroides cellulosilyticus","Porphyromonas crevioricanis",0.176424877026,0.007,0.021410447761194
"101","Bacteroides fragilis","Porphyromonas crevioricanis",0.0405639399585,0.521,0.646377945945946
"102","Bacteroides thetaiotaomicron","Porphyromonas crevioricanis",0.0833092003143,0.2,0.319265544582
"103","Butyricimonas faecalis","Porphyromonas crevioricanis",0.454490561513,0,0
"104","Odoribacter splanchnicus","Porphyromonas crevioricanis",0.214862803184,0,0
"105","Porphyromonas asaccharolytica","Porphyromonas crevioricanis",0.681759791346,0,0
"106","Bifidobacterium adolescentis","Porphyromonas gingivalis",0.0263889765057,0.649,0.753533387292594
"107","Bifidobacterium angulatum","Porphyromonas gingivalis",-0.00464774656213,0.941,0.963071078212789
"108","Bifidobacterium breve","Porphyromonas gingivalis",-0.22709280919,0,0
"109","Bifidobacterium catenulatum","Porphyromonas gingivalis",-0.199047576245,0.004,0.0132059838895282
"110","Bifidobacterium longum","Porphyromonas gingivalis",-0.121364333046,0.056,0.118222222222222
"111","Bifidobacterium pseudocatenulatum","Porphyromonas gingivalis",-0.134385725923,0.024,0.0596155844155844
"112","Atopobium parvulum","Porphyromonas gingivalis",-0.0223161895394,0.756,0.835100202136876
"113","Bacteroides caccae","Porphyromonas gingivalis",0.195227148232,0.001,0.00383941117430579
"114","Bacteroides cellulosilyticus","Porphyromonas gingivalis",0.170090120504,0.008,0.0239332638164755
