"","row","column","cor","p","fdr"
"1","Bifidobacterium adolescentis","Bifidobacterium angulatum",0.677953509897,0,0
"2","Bifidobacterium adolescentis","Bifidobacterium breve",0.238245078792,0,0
"3","Bifidobacterium angulatum","Bifidobacterium breve",0.435831370536,0,0
"4","Bifidobacterium adolescentis","Bifidobacterium catenulatum",0.549616691261,0,0
"5","Bifidobacterium angulatum","Bifidobacterium catenulatum",0.724432759018,0,0
"6","Bifidobacterium breve","Bifidobacterium catenulatum",0.584911574586,0,0
"7","Bifidobacterium adolescentis","Bifidobacterium longum",0.364407570503,0,0
"8","Bifidobacterium angulatum","Bifidobacterium longum",0.379708717886,0,0
"9","Bifidobacterium breve","Bifidobacterium longum",0.72932506826,0,0
"10","Bifidobacterium catenulatum","Bifidobacterium longum",0.571458290803,0,0
"11","Bifidobacterium adolescentis","Bifidobacterium pseudocatenulatum",0.465812756187,0,0
"12","Bifidobacterium angulatum","Bifidobacterium pseudocatenulatum",0.64454817233,0,0
"13","Bifidobacterium breve","Bifidobacterium pseudocatenulatum",0.350429015729,0,0
"14","Bifidobacterium catenulatum","Bifidobacterium pseudocatenulatum",0.843674297306,0,0
"15","Bifidobacterium longum","Bifidobacterium pseudocatenulatum",0.412843999918,0,0
"16","Bifidobacterium adolescentis","Atopobium parvulum",-0.0447553849673,0.472,0.573192804232804
"17","Bifidobacterium angulatum","Atopobium parvulum",-0.0586559801638,0.324,0.428613717579251
"18","Bifidobacterium breve","Atopobium parvulum",0.0821948817205,0.164,0.247444648961346
"19","Bifidobacterium catenulatum","Atopobium parvulum",-0.0935988952317,0.145,0.223598495028218
"20","Bifidobacterium longum","Atopobium parvulum",0.066107748309,0.278,0.379665357610377
"21","Bifidobacterium pseudocatenulatum","Atopobium parvulum",-0.124075360585,0.054,0.0982877081681205
"22","Bifidobacterium adolescentis","Bacteroides caccae",-0.176444686677,0.001,0.00303919491525424
"23","Bifidobacterium angulatum","Bacteroides caccae",-0.189351030278,0.002,0.00565877712031558
"24","Bifidobacterium breve","Bacteroides caccae",-0.355343578331,0,0
"25","Bifidobacterium catenulatum","Bacteroides caccae",-0.180059011564,0.007,0.0171393215276296
"26","Bifidobacterium longum","Bacteroides caccae",-0.231302851559,0,0
"27","Bifidobacterium pseudocatenulatum","Bacteroides caccae",-0.0636776544703,0.331,0.43576413903866
"28","Atopobium parvulum","Bacteroides caccae",-0.153055460992,0.014,0.0310281962147547
"29","Bifidobacterium adolescentis","Bacteroides cellulosilyticus",-0.0384951668953,0.552,0.646733231240429
"30","Bifidobacterium angulatum","Bacteroides cellulosilyticus",-0.112541846316,0.068,0.11966998926545
"31","Bifidobacterium breve","Bacteroides cellulosilyticus",-0.285944316512,0,0
"32","Bifidobacterium catenulatum","Bacteroides cellulosilyticus",-0.166765956019,0.011,0.0253740703517588
"33","Bifidobacterium longum","Bacteroides cellulosilyticus",-0.198486654767,0.002,0.00565877712031558
"34","Bifidobacterium pseudocatenulatum","Bacteroides cellulosilyticus",-0.0592276772656,0.359,0.463324786324786
"35","Atopobium parvulum","Bacteroides cellulosilyticus",-0.27929580057,0,0
"36","Bacteroides caccae","Bacteroides cellulosilyticus",0.47017342968,0,0
"37","Bifidobacterium adolescentis","Bacteroides fragilis",-0.178544245784,0.006,0.0149915088177662
"38","Bifidobacterium angulatum","Bacteroides fragilis",-0.214310201687,0.001,0.00303919491525424
"39","Bifidobacterium breve","Bacteroides fragilis",-0.072540390022,0.258,0.358147816620298
"40","Bifidobacterium catenulatum","Bacteroides fragilis",-0.125015129201,0.047,0.08744682230869
"41","Bifidobacterium longum","Bacteroides fragilis",-0.0347023095394,0.59,0.680760104564649
"42","Bifidobacterium pseudocatenulatum","Bacteroides fragilis",-0.0572277319392,0.33,0.434796785304248
"43","Atopobium parvulum","Bacteroides fragilis",-0.0403705895272,0.525,0.622021474292794
"44","Bacteroides caccae","Bacteroides fragilis",0.301628756565,0.001,0.00303919491525424
"45","Bacteroides cellulosilyticus","Bacteroides fragilis",0.30964487209,0,0
"46","Bifidobacterium adolescentis","Bacteroides thetaiotaomicron",-0.185470868466,0.002,0.00565877712031558
"47","Bifidobacterium angulatum","Bacteroides thetaiotaomicron",-0.213054530988,0,0
"48","Bifidobacterium breve","Bacteroides thetaiotaomicron",-0.237222148774,0,0
"49","Bifidobacterium catenulatum","Bacteroides thetaiotaomicron",-0.193916520735,0.001,0.00303919491525424
"50","Bifidobacterium longum","Bacteroides thetaiotaomicron",-0.17109456044,0.008,0.0192388935456832
"51","Bifidobacterium pseudocatenulatum","Bacteroides thetaiotaomicron",-0.127463016616,0.057,0.103142857142857
"52","Atopobium parvulum","Bacteroides thetaiotaomicron",-0.123627161154,0.043,0.0810691637916872
"53","Bacteroides caccae","Bacteroides thetaiotaomicron",0.451329345686,0,0
"54","Bacteroides cellulosilyticus","Bacteroides thetaiotaomicron",0.411747947717,0,0
"55","Bacteroides fragilis","Bacteroides thetaiotaomicron",0.480210359566,0,0
"56","Bifidobacterium adolescentis","Butyricimonas faecalis",-0.0426847646802,0.503,0.602172751929898
"57","Bifidobacterium angulatum","Butyricimonas faecalis",-0.0648685107292,0.29,0.392967292478451
"58","Bifidobacterium breve","Butyricimonas faecalis",-0.320515018339,0,0
"59","Bifidobacterium catenulatum","Butyricimonas faecalis",-0.212679196917,0,0
"60","Bifidobacterium longum","Butyricimonas faecalis",-0.297777299789,0,0
"61","Bifidobacterium pseudocatenulatum","Butyricimonas faecalis",-0.165687770376,0.008,0.0192388935456832
"62","Atopobium parvulum","Butyricimonas faecalis",-0.30251105687,0,0
"63","Bacteroides caccae","Butyricimonas faecalis",0.428275608206,0,0
