"","corr","edges","pval","fdr"
"1",0.685304851992,"Bifidobacterium adolescentis_Bifidobacterium angulatum",0,0
"2",0.578302976031,"Bifidobacterium adolescentis_Bifidobacterium catenulatum",0,0
"3",0.714018833555,"Bifidobacterium angulatum_Bifidobacterium catenulatum",0,0
"4",0.66586947982,"Bifidobacterium breve_Bifidobacterium longum",0,0
"5",0.544104204825,"Bifidobacterium catenulatum_Bifidobacterium longum",0,0
"6",0.613702078797,"Bifidobacterium angulatum_Bifidobacterium pseudocatenulatum",0,0
"7",0.830444322939,"Bifidobacterium catenulatum_Bifidobacterium pseudocatenulatum",0,0
"8",0.504317528049,"Bacteroides fragilis_Bacteroides thetaiotaomicron",0,0
"9",0.565968095359,"Bacteroides cellulosilyticus_Butyricimonas faecalis",0,0
"10",0.547338835614,"Bacteroides cellulosilyticus_Odoribacter splanchnicus",0,0
"11",0.678018627844,"Butyricimonas faecalis_Odoribacter splanchnicus",0,0
"12",0.513555882716,"Butyricimonas faecalis_Porphyromonas asaccharolytica",0,0
"13",0.590997409725,"Butyricimonas faecalis_Porphyromonas crevioricanis",0,0
"14",0.762341410454,"Porphyromonas asaccharolytica_Porphyromonas crevioricanis",0,0
"15",0.640894071284,"Butyricimonas faecalis_Porphyromonas gingivalis",0,0
"16",0.724745420405,"Porphyromonas asaccharolytica_Porphyromonas gingivalis",0,0
"17",0.881771619133,"Porphyromonas crevioricanis_Porphyromonas gingivalis",0,0
"18",0.522692471537,"Butyricimonas faecalis_Prevotella intermedia",0,0
"19",0.76151114546,"Porphyromonas asaccharolytica_Prevotella intermedia",0,0
"20",0.756251615059,"Porphyromonas crevioricanis_Prevotella intermedia",0,0
"21",0.748821410864,"Porphyromonas gingivalis_Prevotella intermedia",0,0
"22",0.675530050666,"Porphyromonas asaccharolytica_Prevotella scopos",0,0
"23",0.68785509722,"Porphyromonas crevioricanis_Prevotella scopos",0,0
"24",0.661377795768,"Porphyromonas gingivalis_Prevotella scopos",0,0
"25",0.934018281992,"Prevotella intermedia_Prevotella scopos",0,0
"26",0.586946575907,"Butyricimonas faecalis_Alistipes dispar",0,0
"27",0.583662447816,"Odoribacter splanchnicus_Alistipes dispar",0,0
"28",0.537504942511,"Butyricimonas faecalis_Alistipes finegoldii",0,0
"29",0.578981784078,"Odoribacter splanchnicus_Alistipes finegoldii",0,0
"30",0.630166253306,"Alistipes dispar_Alistipes finegoldii",0,0
"31",0.611060564479,"Butyricimonas faecalis_Alistipes megaguti",0,0
"32",0.564179666018,"Odoribacter splanchnicus_Alistipes megaguti",0,0
"33",0.648138885878,"Porphyromonas asaccharolytica_Alistipes megaguti",0,0
"34",0.663982077535,"Porphyromonas crevioricanis_Alistipes megaguti",0,0
"35",0.650717517774,"Porphyromonas gingivalis_Alistipes megaguti",0,0
"36",0.643804574867,"Prevotella intermedia_Alistipes megaguti",0,0
"37",0.586855962237,"Prevotella scopos_Alistipes megaguti",0,0
"38",0.640911880539,"Alistipes dispar_Alistipes megaguti",0,0
"39",0.559490261953,"Alistipes finegoldii_Alistipes megaguti",0,0
"40",0.520834741726,"Alistipes dispar_Alistipes onderdonkii",0,0
"41",0.625195936891,"Alistipes finegoldii_Alistipes onderdonkii",0,0
"42",0.566385830249,"Butyricimonas faecalis_Alistipes shahii",0,0
"43",0.602408849526,"Odoribacter splanchnicus_Alistipes shahii",0,0
"44",0.62076256712,"Alistipes dispar_Alistipes shahii",0,0
"45",0.664171798518,"Alistipes finegoldii_Alistipes shahii",0,0
"46",0.607086865636,"Alistipes megaguti_Alistipes shahii",0,0
"47",0.62521569521,"Alistipes onderdonkii_Alistipes shahii",0,0
"48",0.538609588903,"Bacteroides fragilis_Parabacteroides distasonis",0,0
"49",0.553378382027,"Bacteroides thetaiotaomicron_Parabacteroides distasonis",0,0
"50",0.504756677669,"Butyricimonas faecalis_Parabacteroides distasonis",0,0
"51",0.555698414606,"Bacteroides thetaiotaomicron_Parabacteroides sp. CT06",0,0
"52",0.665631848852,"Parabacteroides distasonis_Parabacteroides sp. CT06",0,0
"53",0.556701650896,"Streptococcus anginosus_Streptococcus equinus",0,0
"54",0.628748142514,"Streptococcus anginosus_Streptococcus oralis",0,0
"55",0.661196944266,"Streptococcus equinus_Streptococcus oralis",0,0
"56",0.537844971443,"Streptococcus anginosus_Streptococcus salivarius",0,0
"57",0.834652277171,"Streptococcus equinus_Streptococcus salivarius",0,0
"58",0.647373191614,"Streptococcus oralis_Streptococcus salivarius",0,0
"59",0.556531899625,"Streptococcus anginosus_Streptococcus sp. FDAARGOS_192",0,0
"60",0.843372237539,"Streptococcus equinus_Streptococcus sp. FDAARGOS_192",0,0
"61",0.660284371062,"Streptococcus oralis_Streptococcus sp. FDAARGOS_192",0,0
"62",0.966093777267,"Streptococcus salivarius_Streptococcus sp. FDAARGOS_192",0,0
"63",0.542351640261,"Gemella morbillorum_Clostridium beijerinckii",0,0
"64",0.847577204316,"Clostridium argentinense_Clostridium beijerinckii",0,0
"65",0.841414581555,"Clostridium argentinense_Clostridium bornimense",0,0
"66",0.854191639607,"Clostridium beijerinckii_Clostridium bornimense",0,0
"67",0.877093210516,"Clostridium argentinense_Clostridium botulinum",0,0
"68",0.890436570694,"Clostridium beijerinckii_Clostridium botulinum",0,0
"69",0.898065673193,"Clostridium bornimense_Clostridium botulinum",0,0
"70",0.751753965992,"Clostridium argentinense_Clostridium butyricum",0,0
"71",0.889540890344,"Clostridium beijerinckii_Clostridium butyricum",0,0
"72",0.874227325279,"Clostridium bornimense_Clostridium butyricum",0,0
"73",0.931557479241,"Clostridium botulinum_Clostridium butyricum",0,0
"74",0.79223700507,"Clostridium argentinense_Clostridium cellulovorans",0,0
"75",0.848960810686,"Clostridium beijerinckii_Clostridium cellulovorans",0,0
"76",0.878906371307,"Clostridium bornimense_Clostridium cellulovorans",0,0
"77",0.804740032579,"Clostridium botulinum_Clostridium cellulovorans",0,0
"78",0.7320828389,"Clostridium butyricum_Clostridium cellulovorans",0,0
"79",0.756968277091,"Clostridium argentinense_Clostridium chauvoei",0,0
"80",0.785989044763,"Clostridium beijerinckii_Clostridium chauvoei",0,0
"81",0.817391233094,"Clostridium bornimense_Clostridium chauvoei",0,0
"82",0.757569031864,"Clostridium botulinum_Clostridium chauvoei",0,0
"83",0.736228630899,"Clostridium butyricum_Clostridium chauvoei",0,0
"84",0.720439886375,"Clostridium cellulovorans_Clostridium chauvoei",0,0
"85",0.804054527868,"Clostridium argentinense_Clostridium isatidis",0,0
"86",0.78853261339,"Clostridium beijerinckii_Clostridium isatidis",0,0
"87",0.801198189597,"Clostridium bornimense_Clostridium isatidis",0,0
"88",0.868063637531,"Clostridium botulinum_Clostridium isatidis",0,0
"89",0.830408438223,"Clostridium butyricum_Clostridium isatidis",0,0
