Run,Group
1_FDSW202414413-1b,CRC
2_FDME20H101911-2r,CRC
3_FDSW202414415-1r,CRC
4_FDSW202414416-1r,CRC
5_FDSW202414417-1b,CRC
6_FDSW202414418-1r,CRC
7_FDSW202414419-1r,CRC
8_FDSW202414420-1b,CRC
9_FDSW202414421-1r,CRC
10_FDSW202414422-1r,CRC
11_FDSW202414423-1b,CRC
12_FDSW202414424-1r,CRC
13_FDSW202414425-1r,CRC
14_FDSW202414426-1r,CRC
16_FDSW202414428-1r,CRC
17_FDSW202414429-1r,CRC
18_FDSW202414430-1r,CRC
19_FDSW202414431-1b,CRC
20_FDSW202414432-1r,CRC
21_FDSW202414433-1r,CRC
22_FDSW202414434-1r,CRC
23_FDSW202414435-1r,CRC
24_FDSW202414436-1r,CRC
25_FDSW202414437-1r,CRC
26_FDSW202414438-1r,CRC
27_FDSW202414439-1r,CRC
28_FDSW202414440-1r,CRC
29_FDSW202414441-1b,CRC
30_FDSW202414442-1r,CRC
32_FDSW202414444-1b,CRC
33_FDSW202414445-1r,CRC
34_FDSW202414446-1r,CRC
35_FDSW202414447-1r,CRC
36_FDSW202414448-1r,CRC
37_FDSW202414449-1r,CRC
38_FDSW202414450-1b,CRC
39_FDSW202414451-1r,CRC
40_FDSW202414452-1r,CRC
41_FDME20H101912-2r,CRC
42_FDSW202414454-1r,CRC
43_FDSW202414455-1b,CRC
44_FDSW202414456-1r,CRC
45_FDSW202414457-1b,CRC
47_FDSW202414459-1r,CRC
48_FDSW202414460-1r,CRC
49_FDSW202414461-1r,CRC
50_FDSW202414462-1r,CRC
51_FDSW202414463-1r,CRC
52_FDSW202414464-1r,CRC
53_FDSW202414465-1r,CRC
54_FDSW202414466-1r,CRC
55_FDSW202414467-1r,CRC
56_FDSW202414468-1r,CRC
57_FDME20H101913-2r,CRC
59_FDME20H101914-2r,CRC
61_FDSW202442335-1r,CRC
62_FDSW202414474-1r,CRC
63_FDME20H101915-2r,CRC
64_FDSW202414476-1r,CRC
66_FDME20H101916-2r,CRC
67_FDSW202414479-1r,CRC
68_FDSW202414480-1r,CRC
69_FDSW202414481-1r,CRC
70_FDSW202414482-1r,CRC
71_FDSW202414483-1r,CRC
72_FDSW202414484-1r,CRC
73_FDME20H101917-1r,CRC
74_FDME20H101918-1r,CRC
75_FDME202475862-1a,CRC
76_FDSW202414488-1r,CRC
77_FDME20H101919-1r,CRC
78_FDSW202414490-1r,CRC
80_FDSW202414492-1r,CRC
81_FDME202475866-2a,CRC
82_FDSW202414494-1r,CRC
83_FDSW202442343-1r,CRC
84_FDME20H101921-1r,CRC
85_FDSW202414497-1r,CRC
86_FDSW202414498-1r,CRC
87_FDSW202414499-1r,CRC
90_FDSW202414502-1r,CTR
92_FDSW202414504-1r,CTR
93_FDSW202414505-1r,CTR
94_FDSW202414506-1r,CTR
95_FDSW202414507-1r,CTR
96_FDSW202414508-1r,CTR
97_FDSW202414509-1r,CTR
98_FDSW202414510-1r,CTR
99_FDSW202414511-1r,CTR
101_FDSW202414513-1r,CTR
102_FDSW202414514-1r,CTR
103_FDSW202414515-1r,CTR
104_FDSW202414516-1r,CTR
105_FDSW202414517-1r,CTR
106_FDSW202414518-1r,CTR
107_FDSW202414519-1r,CTR
108_FDSW202414520-1r,CTR
109_FDSW202414521-1r,CTR
110_FDME202475861-1a,CTR
111_FDSW202414523-1r,CTR
112_FDSW202414524-1r,CTR
113_FDSW202414525-1r,CTR
114_FDSW202414526-1r,CTR
115_FDSW202414527-1r,CTR
116_FDSW202414528-1r,CTR
117_FDSW202414529-1r,CTR
118_FDSW202414530-1r,CTR
119_FDSW202414531-1r,CTR
120_FDSW202414532-1r,CTR
121_FDSW202414533-1r,CTR
123_FDSW202414535-1r,CTR
124_FDSW202414536-1r,CTR
125_FDSW202414537-1r,CTR
126_FDSW202414538-1r,CTR
127_FDSW202414539-1r,CTR
128_FDSW202414540-1r,CTR
129_FDSW202414541-1r,CTR
130_FDSW202414542-1r,CTR
